Species,Length,Weight
Dawkinsia srilankensis,10,NA
Dawkinsia tambraparniei,12.8,NA
Dayella malabarica,6,NA
Daysciaena albida,90,1647
Deania calcea,122,NA
Deania hystricosa,84,NA
Deania profundorum,79,NA
Deania quadrispinosa,115,NA
Decapterus akaadsi,30,NA
Decapterus koheru,40,NA
Decapterus kurroides,45,NA
Decapterus macarellus,46,NA
Decapterus macrosoma,35,NA
Decapterus maruadsi,30,NA
Decapterus muroadsi,50,NA
Decapterus punctatus,30,300
Decapterus russelli,45,110
Decapterus tabl,50,560
Deckertichthys aureolus,15,NA
Decodon grandisquamis,18.5,NA
Decodon melasma,32.3,NA
Decodon pacificus,16,NA
Decodon puellaris,30,NA
Dectobrycon armeniacus,6.62,NA
Dekeyseria amazonica,17.8,NA
Dekeyseria brachyura,16,NA
Dekeyseria niveata,13,NA
Dekeyseria picta,14,NA
Dekeyseria pulchra,10,NA
Dekeyseria scaphirhyncha,21,NA
Dellichthys morelandi,7,NA
Delminichthys adspersus,9,NA
Delminichthys ghetaldii,13,NA
Delminichthys jadovensis,9.3,NA
Delminichthys krbavensis,10,NA
Deltentosteus collonianus,7,NA
Deltentosteus quadrimaculatus,10.3,NA
Deltistes luxatus,86,4500
Delturus angulicauda,18.7,NA
Delturus brevis,17.18,NA
Delturus carinotus,23.5,NA
Delturus parahybae,21,NA
Demissolinea novaeguineensis,45,NA
Denariusa australis,4.5,NA
Dendrochirus barberi,16.5,NA
Dendrochirus bellus,15,NA
Dendrochirus biocellatus,13,NA
Dendrochirus brachypterus,17,NA
Dendrochirus hemprichi,10.25,NA
Dendrochirus tuamotuensis,5.74,NA
Dendrochirus zebra,25,NA
Dendrophysa russelii,25,NA
Dentatherina merceri,5,NA
Dentectus barbarmatus,13.7,NA
Dentex abei,30.7,NA
Dentex angolensis,37,NA
Dentex barnardi,40,NA
Dentex canariensis,100,8060
Dentex carpenteri,NA,NA
Dentex congoensis,50,NA
Dentex dentex,100,14250
Dentex fourmanoiri,21.5,NA
Dentex gibbosus,106,15000
Dentex hypselosomus,30.6,NA
Dentex macrophthalmus,65,NA
Dentex maroccanus,45,NA
Dentex spariformis,2.83,NA
Dentex tumifrons,35,NA
Denticeps clupeoides,15,NA
Denticetopsis epa,4.7,NA
Denticetopsis iwokrama,4.3,NA
Denticetopsis macilenta,6.7,NA
Denticetopsis praecox,5.29,NA
Denticetopsis royeroi,1.8,NA
Denticetopsis sauli,2.1,NA
Denticetopsis seducta,5.1,NA
Dentiraja australis,55,NA
Dentiraja cerva,66,NA
Dentiraja confusa,64.9,NA
Dentiraja endeavouri,32.1,NA
Dentiraja falloarga,45,NA
Dentiraja flindersi,31.6,NA
Dentiraja healdi,58.7,NA
Dentiraja lemprieri,55,NA
Dentiraja oculata,NA,NA
Dentiraja polyommata,36,NA
Derepodichthys alepidotus,16,NA
Derhamia hoffmannorum,6.14,NA
Derichthys serpentinus,40,NA
Derilissus altifrons,1.71,NA
Derilissus kremnobates,2.76,NA
Derilissus lombardii,1.09,NA
Derilissus nanus,1.41,NA
Derilissus vittiger,1.86,NA
Dermatias platynogaster,NA,NA
Dermatolepis dermatolepis,100,12470
Dermatolepis inermis,91,10000
Dermatolepis striolata,85,10500
Dermatopsis greenfieldi,NA,NA
Dermatopsis hoesei,4,NA
Dermatopsis joergennielseni,5.2,NA
Dermatopsis macrodon,10,NA
Dermatopsis multiradiatus,11.5,NA
Dermatopsoides andersoni,3.9,NA
Dermatopsoides kasougae,6.5,NA
Dermatopsoides morrisonae,NA,NA
Dermatopsoides talboti,5.7,NA
Dermogenys bispina,NA,NA
Dermogenys brachynotopterus,NA,NA
Dermogenys bruneiensis,NA,NA
Dermogenys burmanica,6.04,NA
Dermogenys collettei,NA,NA
Dermogenys montana,7,NA
Dermogenys orientalis,5.5,NA
Dermogenys palawanensis,NA,NA
Dermogenys pusilla,16.1,NA
Dermogenys robertsi,NA,NA
Dermogenys siamensis,4,NA
Dermogenys sumatrana,7.5,NA
Dermogenys vogti,6.2,NA
Desmodema lorum,114,NA
Desmodema polystictum,110,NA
Desmopuntius foerschi,5.3,NA
Desmopuntius gemellus,6.5,NA
Desmopuntius hexazona,5.5,NA
Desmopuntius johorensis,12,NA
Desmopuntius pentazona,8.8,NA
Desmopuntius rhomboocellatus,8.8,NA
Desmopuntius trifasciatus,9.61,NA
Deuterodon iguape,9.84,NA
Deuterodon langei,12.6,NA
Deuterodon longirostris,9.13,NA
Deuterodon parahybae,3.9,NA
Deuterodon potaroensis,6,NA
Deuterodon rosae,11.66,NA
Deuterodon singularis,8.81,NA
Deuterodon stigmaturus,10.7,NA
Deuterodon supparis,10.24,NA
Devario acrostomus,7.68,NA
Devario acuticephala,4,NA
Devario aequipinnatus,15,NA
Devario affinis,8,NA
Devario annandalei,9,NA
Devario annnataliae,7.37,NA
Devario anomalus,9.67,NA
Devario apogon,5.1,NA
Devario apopyris,3.83,NA
Devario assamensis,9,NA
Devario auropurpureus,10,NA
Devario browni,8,NA
Devario chrysotaeniatus,7.1,NA
Devario coxi,7.21,NA
Devario deruptotalea,6.34,NA
Devario devario,10,NA
Devario fangae,5.88,NA
Devario fangfangae,6.81,NA
Devario fraseri,10,NA
Devario gibber,6.5,NA
Devario horai,2.8,NA
Devario interruptus,6,NA
Devario kakhienensis,12,NA
Devario kysonensis,15,NA
Devario laoensis,8,NA
Devario leptos,5.19,NA
Devario maetaengensis,5,NA
Devario malabaricus,12,NA
Devario manipurensis,3.8,NA
Devario micronema,5.51,NA
Devario monticola,5.26,NA
Devario myitkyinae,6.87,NA
Devario naganensis,4.5,NA
Devario neilgherriensis,10,NA
Devario ostreographus,NA,NA
Devario pathirana,6,NA
Devario peninsulae,8,NA
Devario regina,10.1,11.2
Devario salmonata,4.47,NA
Devario shanensis,7,NA
Devario sondhii,6.5,NA
Devario spinosus,10,NA
Devario strigillifer,10,NA
Devario suvatti,9,NA
Devario udenii,6.81,NA
Devario xyrops,7.69,NA
Devario yuensis,8.8,NA
Dexillus muelleri,18,NA
Dexistes rikuzenius,22,NA
Diademichthys lineatus,5,NA
Diagramma centurio,100,NA
Diagramma labiosum,90,6300
Diagramma melanacrum,45,NA
Diagramma pictum,100,6300
Diagramma punctatum,33.5,NA
Dialommus fuscus,NA,NA
Dialommus macrocephalus,11,NA
Diancistrus alatus,3.2,NA
Diancistrus alleni,7,NA
Diancistrus altidorsalis,10.2,NA
Diancistrus atollorum,5.8,NA
Diancistrus beateae,14.9,NA
Diancistrus brevirostris,5.9,NA
Diancistrus eremitus,8.3,NA
Diancistrus erythraeus,7,NA
Diancistrus fijiensis,4.9,NA
Diancistrus fuscus,7,NA
Diancistrus jackrandalli,7.9,NA
Diancistrus jeffjohnsoni,6,NA
Diancistrus karinae,7.5,NA
Diancistrus katrineae,10.2,NA
Diancistrus leisi,3.3,NA
Diancistrus longifilis,7.6,NA
Diancistrus machidai,6,NA
Diancistrus manciporus,5.3,NA
Diancistrus mcgroutheri,4.7,NA
Diancistrus mennei,4.8,NA
Diancistrus niger,4.5,NA
Diancistrus novaeguineae,10.3,NA
Diancistrus pohnpeiensis,8.2,NA
Diancistrus robustus,5.2,NA
Diancistrus springeri,4.2,NA
Diancistrus tongaensis,4.5,NA
Diancistrus typhlops,8,NA
Diancistrus vietnamensis,6.2,NA
Dianema longibarbis,8.2,NA
Dianema urostriatum,8.4,NA
Diaphenchelys pelonates,46.5,NA
Diaphus adenomus,18,NA
Diaphus aliciae,6,NA
Diaphus anderseni,3.2,NA
Diaphus antonbruuni,5.5,NA
Diaphus arabicus,NA,NA
Diaphus basileusi,13,NA
Diaphus bertelseni,9.1,NA
Diaphus brachycephalus,6,NA
Diaphus burtoni,NA,NA
Diaphus chrysorhynchus,1.08,NA
Diaphus coeruleus,13.7,NA
Diaphus confusus,NA,NA
Diaphus dahlgreni,NA,NA
Diaphus danae,12.6,NA
Diaphus dehaveni,NA,NA
Diaphus diadematus,4.2,NA
Diaphus diademophilus,NA,NA
Diaphus drachmanni,NA,NA
Diaphus dumerilii,8.7,NA
Diaphus effulgens,15,NA
Diaphus ehrhorni,NA,NA
Diaphus faustinoi,NA,NA
Diaphus fragilis,12.3,NA
Diaphus fulgens,4.5,NA
Diaphus garmani,6,NA
Diaphus gigas,NA,NA
Diaphus handi,NA,NA
Diaphus holti,7,NA
Diaphus hudsoni,8.4,NA
Diaphus impostor,NA,NA
Diaphus jenseni,5,NA
Diaphus kapalae,NA,NA
Diaphus knappi,17.3,NA
Diaphus kora,NA,NA
Diaphus kuroshio,6.3,NA
Diaphus lobatus,NA,NA
Diaphus lucidus,11.8,NA
Diaphus lucifrons,NA,NA
Diaphus luetkeni,6,NA
Diaphus malayanus,4.5,NA
Diaphus mascarensis,14.4,NA
Diaphus meadi,5.4,NA
Diaphus megalops,8.5,NA
Diaphus metopoclampus,7.5,NA
Diaphus minax,NA,NA
Diaphus mollis,6.6,NA
Diaphus nielseni,4,NA
Diaphus ostenfeldi,12,NA
Diaphus pacificus,NA,NA
Diaphus pallidus,NA,NA
Diaphus parini,NA,NA
Diaphus parri,6.5,NA
Diaphus perspicillatus,7.1,NA
Diaphus phillipsi,7.7,NA
Diaphus problematicus,10.5,NA
Diaphus rafinesquii,9,NA
Diaphus regani,1.35,NA
Diaphus richardsoni,6,NA
Diaphus rivatoni,11,NA
Diaphus roei,NA,NA
Diaphus sagamiensis,NA,NA
Diaphus schmidti,5.3,NA
Diaphus signatus,NA,NA
Diaphus similis,NA,NA
Diaphus splendidus,9,NA
Diaphus suborbitalis,7.3,NA
Diaphus subtilis,8.5,NA
Diaphus taaningi,7,NA
Diaphus termophilus,8,NA
Diaphus theta,11.4,NA
Diaphus thiollierei,10,NA
Diaphus trachops,6.35,NA
Diaphus umbroculus,NA,NA
Diaphus vanhoeffeni,4.2,NA
Diaphus watasei,17,NA
Diaphus whitleyi,NA,NA
Diaphus wisneri,NA,NA
Diapoma pyrrhopteryx,5.6,NA
Diapoma speculiferum,4.55,NA
Diapoma terofali,4.83,NA
Diapoma thauma,4.5,NA
Diapterus auratus,34,680
Diapterus brevirostris,38,NA
Diapterus peruvianus,30,NA
Diapterus rhombeus,40,76.3
Diastobranchus capensis,180,NA
Dibrachichthys melanurus,5.7,NA
Dibranchus accinctus,17.5,NA
Dibranchus atlanticus,39.4,NA
Dibranchus cracens,12.83,NA
Dibranchus discors,10.79,NA
Dibranchus erinaceus,11,NA
Dibranchus hystrix,12.5,NA
Dibranchus japonicus,15.45,NA
Dibranchus nasutus,NA,NA
Dibranchus nudivomer,11.2,NA
Dibranchus sparsus,8.37,NA
Dibranchus spinosus,14.9,NA
Dibranchus spongiosa,13.32,NA
Dibranchus tremendus,19.2,NA
Dibranchus velutinus,9.9,NA
Dicentrarchus labrax,103,12000
Dicentrarchus punctatus,70,NA
Diceratias bispinosus,11.2,NA
Diceratias pileatus,23.5,NA
Diceratias trilobus,NA,NA
Dichistius capensis,80,6500
Dichistius multifasciatus,35,1700
Dichotomyctere erythrotaenia,8.5,NA
Dichotomyctere fluviatilis,17,NA
Dichotomyctere kretamensis,4.5,NA
Dichotomyctere nigroviridis,17,NA
Dichotomyctere ocellatus,8,NA
Dichotomyctere sabahensis,10.8,NA
Dicologlossa cuneata,30,NA
Dicologlossa hexophthalma,20,NA
Dicotylichthys punctulatus,40,NA
Dicrolene filamentosa,44,NA
Dicrolene gregoryi,NA,NA
Dicrolene hubrechti,41.6,NA
Dicrolene introniger,35,NA
Dicrolene kanazawai,27.3,NA
Dicrolene longimana,32,NA
Dicrolene mesogramma,18.4,NA
Dicrolene multifilis,26,NA
Dicrolene nigra,40.3,NA
Dicrolene nigricaudis,NA,NA
Dicrolene pallidus,16.6,NA
Dicrolene pullata,NA,NA
Dicrolene quinquarius,57.7,NA
Dicrolene tristis,17.5,NA
Dicrolene vaillanti,NA,NA
Dicrossus filamentosus,3.8,NA
Dicrossus foirni,7.09,NA
Dicrossus gladicauda,4.24,NA
Dicrossus maculatus,5.3,NA
Dicrossus warzeli,6,NA
Dictyosoma burgeri,25,NA
Dictyosoma rubrimaculatum,17.9,NA
Dictyosoma tongyeongensis,28,NA
Didogobius amicuscaridis,3.15,NA
Didogobius bentuvii,NA,NA
Didogobius helenae,2.48,NA
Didogobius janetarum,NA,NA
Didogobius kochi,5.8,NA
Didogobius schlieweni,NA,NA
Didogobius splechtnai,2.27,NA
Didogobius wirtzi,3.05,NA
Didymothallus criniceps,5.4,NA
Didymothallus mizolepis,5.1,NA
Didymothallus nudigena,5.1,NA
Didymothallus pruvosti,4.4,NA
Dieidolycus adocetus,NA,NA
Dieidolycus gosztonyii,NA,NA
Dieidolycus leptodermatus,16.6,NA
Dienbienia namnuaensis,NA,NA
Dimidiochromis compressiceps,23,NA
Dimidiochromis dimidiatus,20,NA
Dimidiochromis kiwinge,30,515
Dimidiochromis strigatus,24.4,NA
Dinematichthys iluocoeteoides,12,NA
Dinematichthys trilobatus,4.6,NA
Dinolestes lewini,84,NA
Dinoperca petersi,75,5000
Dinotopterus cunningtoni,175,NA
Diodon eydouxii,27,NA
Diodon holocanthus,50,NA
Diodon hystrix,91,2800
Diodon liturosus,65,NA
Diodon nicthemerus,40,NA
Diogenichthys atlanticus,2.9,NA
Diogenichthys laternatus,5,NA
Diogenichthys panurgus,2.3,NA
Dionda argentosa,7.6,NA
Dionda diaboli,6.4,NA
Dionda episcopa,7.7,NA
Dionda melanops,NA,NA
Dionda nigrotaeniata,9,NA
Dionda serena,7.7,NA
Diplacanthopoma alcockii,NA,NA
Diplacanthopoma brachysoma,10.2,NA
Diplacanthopoma brunnea,NA,NA
Diplacanthopoma japonicus,40,NA
Diplacanthopoma jordani,44.7,NA
Diplacanthopoma kreffti,NA,NA
Diplacanthopoma nigripinnis,30,NA
Diplacanthopoma raniceps,NA,NA
Diplacanthopoma riversandersoni,NA,NA
Diplecogaster bimaculata,6,NA
Diplecogaster ctenocrypta,1.67,NA
Diplecogaster euxinica,NA,NA
Diplecogaster megalops,3.4,NA
Diplecogaster pectoralis,2.23,NA
Diplecogaster tonstricula,2.29,NA
Diplectrum bivittatum,25,NA
Diplectrum conceptione,25,NA
Diplectrum eumelum,31,NA
Diplectrum euryplectrum,20,NA
Diplectrum formosum,30,NA
Diplectrum labarum,26,NA
Diplectrum macropoma,18,NA
Diplectrum maximum,37,NA
Diplectrum pacificum,34,NA
Diplectrum radiale,26,101.4
Diplectrum rostrum,21,NA
Diplectrum sciurus,17,NA
Diplobatis colombiensis,17,NA
Diplobatis guamachensis,20,NA
Diplobatis ommata,25,NA
Diplobatis pictus,NA,NA
Diplocheilichthys jentinkii,NA,NA
Diplocheilichthys pleurotaenia,22.5,NA
Diploconger polystigmatus,30,NA
Diplocrepis puniceus,12.5,NA
Diplodus annularis,27.5,330
Diplodus argenteus,37.8,2500
Diplodus ascensionis,22,NA
Diplodus bellottii,30,NA
Diplodus bermudensis,30,NA
Diplodus cadenati,45,NA
Diplodus capensis,45,NA
Diplodus caudimacula,30,NA
Diplodus cervinus,55,2740
Diplodus fasciatus,45,NA
Diplodus helenae,31,NA
Diplodus holbrookii,46,NA
Diplodus hottentotus,60,NA
Diplodus kotschyi,30,NA
Diplodus levantinus,23.1,NA
Diplodus lineatus,35,NA
Diplodus noct,25,NA
Diplodus omanensis,30,NA
Diplodus prayensis,35,NA
Diplodus puntazzo,60,1680
Diplodus sargus,45,1870
Diplodus striatus,NA,NA
Diplodus vulgaris,45,1300
Diplogrammus goramensis,10,NA
Diplogrammus gruveli,NA,NA
Diplogrammus infulatus,12,NA
Diplogrammus pauciradiatus,5,NA
Diplogrammus paucispinis,3.94,NA
Diplogrammus pygmaeus,3.7,NA
Diplogrammus randalli,7,NA
Diplogrammus xenicus,8,NA
Diplomystes camposensis,25,NA
Diplomystes chilensis,23,NA
Diplomystes incognitus,15.3,NA
Diplomystes nahuelbutaensis,26,NA
Diplophos australis,18,NA
Diplophos orientalis,32,NA
Diplophos pacificus,NA,NA
Diplophos rebainsi,25,NA
Diplophos taenia,27.6,NA
Diploprion bifasciatum,25,NA
Diploprion drachi,14,NA
Diplospinus multistriatus,33,NA
Diplotaxodon aeneus,14,NA
Diplotaxodon apogon,11.7,NA
Diplotaxodon argenteus,20.4,NA
Diplotaxodon ecclesi,14.6,NA
Diplotaxodon greenwoodi,24.7,NA
Diplotaxodon limnothrissa,15.4,60
Diplotaxodon macrops,12.5,NA
Diproctacanthus xanthurus,10,NA
Dipterygonotus balteatus,14,NA
Dipturus acrobelus,95,NA
Dipturus amphispinus,NA,NA
Dipturus apricus,65.9,NA
Dipturus argentinensis,93.5,NA
Dipturus batis,285,97070
Dipturus bullisi,48,NA
Dipturus campbelli,66,NA
Dipturus canutus,79.5,NA
Dipturus chinensis,68,NA
Dipturus crosnieri,61,NA
Dipturus diehli,101.2,NA
Dipturus doutrei,115,NA
Dipturus ecuadoriensis,39,NA
Dipturus flavirostris,NA,NA
Dipturus garricki,107,NA
Dipturus gigas,186,NA
Dipturus grahami,62.2,NA
Dipturus gudgeri,184,NA
Dipturus innominatus,240,NA
Dipturus intermedius,230,NA
Dipturus johannisdavisi,54,NA
Dipturus kwangtungensis,75.7,NA
Dipturus laevis,163,18000
Dipturus lanceorostratus,82,NA
Dipturus leptocauda,67,NA
Dipturus macrocauda,120,NA
Dipturus melanospilus,77.7,NA
Dipturus mennii,167,NA
Dipturus nidarosiensis,200,NA
Dipturus olseni,69,NA
Dipturus oregoni,144,NA
Dipturus oxyrinchus,150,NA
Dipturus pullopunctatus,130,NA
Dipturus queenslandicus,65.9,NA
Dipturus springeri,192,NA
Dipturus stenorhynchus,101,NA
Dipturus teevani,84,NA
Dipturus tengu,113,NA
Dipturus trachyderma,264,NA
Dipturus wengi,112.2,NA
Dipturus wuhanlingi,66.8,NA
Diptychus maculatus,70,NA
Diptychus sewerzowi,NA,NA
Dipulus caecus,19.7,NA
Dipulus hutchinsi,10.2,NA
Dipulus norfolkanus,7.3,NA
Diretmichthys parini,40,NA
Diretmoides pauciradiatus,37,NA
Diretmoides veriginae,23.3,NA
Diretmus argenteus,27.6,NA
Discherodontus ashmeadi,13.6,NA
Discherodontus halei,10.5,NA
Discherodontus parvus,6.7,NA
Discherodontus schroederi,NA,NA
Dischistodus chrysopoecilus,15,NA
Dischistodus darwiniensis,10.3,NA
Dischistodus fasciatus,11.5,NA
Dischistodus melanotus,16,NA
Dischistodus perspicillatus,18,NA
Dischistodus prosopotaenia,18.5,NA
Dischistodus pseudochrysopoecilus,18,NA
Discocheilus multilepis,9.91,NA
Discocheilus wui,6.95,NA
Discogobio antethoracalis,11.53,NA
Discogobio bismargaritus,13.8,NA
Discogobio brachyphysallidos,13.2,NA
Discogobio caobangi,NA,NA
Discogobio dienbieni,NA,NA
Discogobio elongatus,9.8,NA
Discogobio laticeps,14.1,NA
Discogobio longibarbatus,10.5,NA
Discogobio macrophysallidos,12.1,NA
Discogobio microstoma,NA,NA
Discogobio multilineatus,7.4,NA
Discogobio pacboensis,NA,NA
Discogobio poneventralis,10.19,NA
Discogobio propeanalis,9.07,NA
Discogobio tetrabarbatus,14,30.2
Discogobio yunnanensis,14.8,36.1
Discolabeo wuluoheensis,NA,NA
Discopyge castelloi,NA,NA
Discopyge tschudii,53.8,NA
Discordipinna filamentosa,1.57,NA
Discordipinna griessingeri,3,NA
Discotrema crinophilum,5,NA
Discotrema monogrammum,2.32,NA
Discotrema zonatum,2.29,NA
Dissostichus eleginoides,215,9600
Dissostichus mawsoni,200,80000
Distichodus affinis,20,NA
Distichodus altus,15,NA
Distichodus antonii,55,NA
Distichodus atroventralis,29,NA
Distichodus brevipinnis,59,6000
Distichodus decemmaculatus,7.5,NA
Distichodus engycephalus,40,1500
Distichodus fasciolatus,60,3000
Distichodus hypostomatus,19.5,NA
Distichodus kolleri,19.5,NA
Distichodus langi,36.4,NA
Distichodus lusosso,38,NA
Distichodus maculatus,31,NA
Distichodus mossambicus,57,7555
Distichodus nefasch,83,6200
Distichodus noboli,19,NA
Distichodus notospilus,19.5,NA
Distichodus petersii,45,NA
Distichodus rostratus,76,6250
Distichodus rufigiensis,17,NA
Distichodus schenga,50,6350
Distichodus sexfasciatus,76,NA
Distichodus teugelsi,5.7,NA
Distocyclus conirostris,50,NA
Distocyclus guchereauae,33.1,NA
Distoechodon macrophthalmus,20.02,NA
Distoechodon tumirostris,11,NA
Ditrema jordani,20.83,NA
Ditrema temminckii pacificum,19.34,NA
Ditrema temminckii temminckii,24,NA
Ditrema viride,19,NA
Ditropichthys storeri,12.8,NA
Divandu albimarginatus,12.1,NA
Docimodus evelynae,20.1,NA
Docimodus johnstoni,25,NA
Dodekablennos fraseri,NA,NA
Doederleinia berycoides,40,NA
Dolichallabes microphthalmus,25,NA
Dolichamphilius brieni,5.4,NA
Dolichamphilius longiceps,4.22,NA
Dolichancistrus atratoensis,8.2,NA
Dolichancistrus carnegiei,17,NA
Dolichancistrus cobrensis,7.9,NA
Dolichancistrus fuesslii,13.1,NA
Dolichancistrus pediculatus,12,NA
Dolichancistrus setosus,12,NA
Dolicholagus longirostris,17.5,NA
Dolichopteroides binocularis,24.2,NA
Dolichopteryx anascopa,17.3,NA
Dolichopteryx andriashevi,6.3,NA
Dolichopteryx longipes,18,NA
Dolichopteryx minuscula,NA,NA
Dolichopteryx parini,21.7,NA
Dolichopteryx pseudolongipes,7.99,NA
Dolichopteryx rostrata,6.62,NA
Dolichopteryx trunovi,14.3,NA
Dolichopteryx vityazi,6.08,NA
Dolichosudis fuliginosa,24.4,NA
Dolloidraco longedorsalis,13.7,NA
Dolopichthys allector,NA,NA
Dolopichthys danae,NA,NA
Dolopichthys dinema,2.2,NA
Dolopichthys jubatus,NA,NA
Dolopichthys karsteni,NA,NA
Dolopichthys longicornis,NA,NA
Dolopichthys pullatus,NA,NA
Doraops zuloagai,50,NA
Doras carinatus,30,NA
Doras higuchii,32.5,349
Doras micropoeus,35,NA
Doras phlyzakion,NA,NA
Doras zuanoni,NA,NA
Doratonotus megalepis,9.4,10.8
Dormitator cubanus,9.4,NA
Dormitator latifrons,41,1200
Dormitator lebretonis,12.4,NA
Dormitator lophocephalus,9,NA
Dormitator maculatus,70,NA
Dorosoma anale,23.6,NA
Dorosoma cepedianum,57,1980
Dorosoma chavesi,18,NA
Dorosoma petenense,33,NA
Dorosoma smithi,14,NA
Doryichthys boaja,41,NA
Doryichthys contiguus,10.98,NA
Doryichthys deokhatoides,18.5,NA
Doryichthys heterosoma,34,NA
Doryichthys martensii,15,NA
Doryrhamphus aurolineatus,3.42,NA
Doryrhamphus bicarinatus,8,NA
Doryrhamphus excisus abbreviatus,4.3,NA
Doryrhamphus excisus excisus,7,NA
Doryrhamphus excisus paulus,3.9,NA
Doryrhamphus janssi,14,NA
Doryrhamphus japonicus,8.5,NA
Doryrhamphus malus,6.2,NA
Doryrhamphus negrosensis,4.7,NA
Dotalabrus alleni,8.45,NA
Dotalabrus aurantiacus,11.05,NA
Doumea angolensis,7,NA
Doumea chappuisi,11.6,NA
Doumea gracila,14.1,NA
Doumea reidi,9.3,NA
Doumea sanaga,8,NA
Doumea skeltoni,4.5,NA
Doumea stilicauda,17.5,NA
Doumea thysi,6.55,NA
Doumea typica,22,NA
Draconectes narinosus,NA,NA
Draconetta xenica,9,NA
Draculo celetus,4.5,NA
Draculo maugei,NA,NA
Draculo mirabilis,6,NA
Draculo pogognathus,2.5,NA
Draculo shango,2.5,NA
Drepane africana,45,750
Drepane longimana,50,NA
Drepane punctata,50,NA
Drombus dentifer,NA,NA
Drombus globiceps,4.3,NA
Drombus halei,NA,NA
Drombus key,7,NA
Drombus kranjiensis,3,NA
Drombus lepidothorax,NA,NA
Drombus ocyurus,NA,NA
Drombus palackyi,NA,NA
Drombus simulus,3.5,NA
Drombus triangularis,7,NA
Dules auriga,19.5,NA
Dunckerocampus baldwini,14,NA
Dunckerocampus boylei,16,NA
Dunckerocampus chapmani,8.5,NA
Dunckerocampus dactyliophorus,19,NA
Dunckerocampus multiannulatus,19,NA
Dunckerocampus naia,NA,NA
Dunckerocampus pessuliferus,16,NA
Dundocharax bidentatus,1.9,NA
Duopalatinus emarginatus,14,NA
Duopalatinus peruanus,15,NA
Dupouyichthys sapito,3,NA
Dussumieria acuta,20,NA
Dussumieria elopsoides,20,NA
Dysalotus alcocki,22.5,NA
Dysalotus oligoscolus,22.65,NA
Dysomma anguillare,52,NA
Dysomma brevirostre,30,NA
Dysomma bucephalus,NA,NA
Dysomma dolichosomatum,35.7,NA
Dysomma fuscoventralis,NA,NA
Dysomma goslinei,19.7,NA
Dysomma longirostrum,28.5,NA
Dysomma melanurum,29.7,NA
Dysomma muciparus,NA,NA
Dysomma opisthoproctus,42.06,NA
Dysomma polycatodon,60,NA
Dysomma taiwanensis,49.6,NA
Dysomma tridens,NA,NA
Dysommina proboscideus,NA,NA
Dysommina rugosa,37.1,NA
Dzihunia amudarjensis,16,NA
Dzihunia ilan,NA,NA
Dzihunia turdakovi,6.8,NA
Ebinania australiae,41.22,NA
Ebinania brephocephala,15,NA
Ebinania costaecanariae,30,NA
Ebinania gyrinoides,NA,NA
Ebinania macquariensis,NA,NA
Ebinania malacocephala,22,NA
Ebinania vermiculata,30,NA
Ebomegobius goodi,3.6,NA
Ebosia bleekeri,22,NA
Ebosia falcata,9.33,NA
Ebosia vespertina,10.99,NA
Echelus myrus,100,NA
Echelus pachyrhynchus,48.5,NA
Echelus polyspondylus,56.7,NA
Echelus uropterus,60,NA
Echeneis naucrates,110,2300
Echeneis neucratoides,75,NA
Echidna amblyodon,20.5,NA
Echidna catenata,165,NA
Echidna delicatula,65,NA
Echidna leucotaenia,75,NA
Echidna nebulosa,100,NA
Echidna nocturna,71,NA
Echidna peli,100,NA
Echidna polyzona,72.3,NA
Echidna rhodochilus,33.8,NA
Echidna unicolor,40,NA
Echidna xanthospilos,75,NA
Echiichthys vipera,15,NA
Echinogobius hayashii,7,NA
Echinomacrurus mollis,46.5,NA
Echinomacrurus occidentalis,37,NA
Echinophryne crassispina,7,NA
Echinophryne mitchellii,11.1,NA
Echinophryne reynoldsi,8,NA
Echinorhinus brucus,310,NA
Echinorhinus cookei,400,NA
Echiodon anchipterus,17.2,NA
Echiodon atopus,17.6,NA
Echiodon coheni,14.3,NA
Echiodon cryomargarites,41,NA
Echiodon dawsoni,11.2,NA
Echiodon dentatus,17,NA
Echiodon drummondii,30,NA
Echiodon exsilium,12.6,NA
Echiodon neotes,23.5,NA
Echiodon pegasus,20,NA
Echiodon prionodon,16.5,NA
Echiodon pukaki,23.2,NA
Echiodon rendahli,12,NA
Echiophis brunneus,140,NA
Echiophis intertinctus,180,NA
Echiophis punctifer,180,NA
Echiostoma barbatum,36.8,NA
Eckloniaichthys scylliorhiniceps,3.5,NA
Eclectochromis lobochilus,12.5,NA
Eclectochromis ornatus,18.2,NA
Economidichthys pygmaeus,5.1,NA
Economidichthys trichonis,3,NA
Ecsenius aequalis,4.3,NA
Ecsenius alleni,3.4,NA
Ecsenius aroni,5.5,NA
Ecsenius australianus,6,NA
Ecsenius axelrodi,5.8,NA
Ecsenius bandanus,3.4,NA
Ecsenius bathi,4.4,NA
Ecsenius bicolor,11,NA
Ecsenius bimaculatus,4.5,NA
Ecsenius caeruliventris,2.43,NA
Ecsenius collettei,5,NA
Ecsenius dentex,4.8,NA
Ecsenius dilemma,3.1,NA
Ecsenius fijiensis,3.9,NA
Ecsenius fourmanoiri,4.9,NA
Ecsenius frontalis,8,NA
Ecsenius gravieri,8,NA
Ecsenius isos,3.2,NA
Ecsenius kurti,3.5,NA
Ecsenius lineatus,9,NA
Ecsenius lividanalis,5,NA
Ecsenius lubbocki,4,NA
Ecsenius mandibularis,7.5,NA
