Species,Length,Weight
Acanthopsoides molobrion,4.5,NA
Acanthopsoides namromensis,NA,NA
Acanthopsoides robertsi,5.5,NA
Acanthorhodeus chankaensis,12,NA
Acanthosphex leurynnis,3.1,NA
Acanthostracion guineensis,18,NA
Acanthostracion notacanthus,50,NA
Acanthostracion polygonius,50,152.4
Acanthostracion quadricornis,55,NA
Acanthurus achilles,24,NA
Acanthurus albimento,25.24,NA
Acanthurus albipectoralis,33,NA
Acanthurus auranticavus,45,NA
Acanthurus bahianus,NA,NA
Acanthurus bariene,50,NA
Acanthurus blochii,45,NA
Acanthurus chirurgus,39,5100
Acanthurus chronixis,28,NA
Acanthurus coeruleus,39,NA
Acanthurus dussumieri,54,NA
Acanthurus fowleri,45,NA
Acanthurus gahhm,40,NA
Acanthurus grammoptilus,35,900
Acanthurus guttatus,26,NA
Acanthurus japonicus,21,NA
Acanthurus leucocheilus,45,NA
Acanthurus leucopareius,25,NA
Acanthurus leucosternon,54,NA
Acanthurus lineatus,38,NA
Acanthurus maculiceps,40,NA
Acanthurus mata,50,NA
Acanthurus monroviae,45,NA
Acanthurus nigricans,21.3,NA
Acanthurus nigricauda,40,NA
Acanthurus nigrofuscus,21,NA
Acanthurus nigroris,25,NA
Acanthurus nubilus,26,NA
Acanthurus olivaceus,35,NA
Acanthurus polyzona,11,NA
Acanthurus pyroferus,29,NA
Acanthurus randalli,18,NA
Acanthurus reversus,34,NA
Acanthurus sohal,40,NA
Acanthurus tennentii,31,NA
Acanthurus thompsoni,27,NA
Acanthurus tractus,38.1,NA
Acanthurus triostegus,27,NA
Acanthurus tristis,25,NA
Acanthurus xanthopterus,70,NA
Acantopsis dialuzona,25,NA
Acantopsis dinema,11.67,NA
Acantopsis ioa,13.2,NA
Acantopsis multistigmatus,NA,NA
Acantopsis octoactinotos,9.6,NA
Acantopsis rungthipae,11.97,NA
Acantopsis spectabilis,30,NA
Acantopsis thiemmedhi,11.76,NA
Acapoeta tanganicae,61,2250
Acarichthys heckelii,13.4,NA
Acarobythites larsonae,2.52,NA
Acaronia nassa,15.4,NA
Acaronia vultuosa,12.2,NA
Acentrogobius audax,10,NA
Acentrogobius caninus,13,NA
Acentrogobius cenderawasih,NA,NA
Acentrogobius chlorostigmatoides,11,NA
Acentrogobius cyanomos,11.5,NA
Acentrogobius dayi,11,NA
