county,Average
"Gaston County, NC",96.54166666666667
"Genesee County, MI",161.33333333333334
"Gloucester County, NJ",103.95833333333333
"Grayson County, TX",55.875
"Greene County, MO",113.97916666666667
"Greene County, OH",51.229166666666664
"Greenville County, SC",228.54166666666666
"Gregg County, TX",51.666666666666664
"Guadalupe County, TX",51.041666666666664
"Guilford County, NC",217.45833333333334
"Gwinnett County, GA",490.6666666666667
"Hall County, GA",100.22916666666667
"Hamilton County, IN",117.75
"Hamilton County, OH",338.9375
"Hamilton County, TN",123.54166666666667
"Hampden County, MA",200.79166666666666
"Hampshire County, MA",38.958333333333336
"Hampton city, VA",69.85416666666667
"Hardin County, KY",43.208333333333336
"Harford County, MD",82.6875
"Harnett County, NC",68.0625
"Harris County, TX",2539.5833333333335
"Harrison County, MS",80.77083333333333
"Hartford County, CT",314.1666666666667
"Hawaii County, HI",94.9375
"Hays County, TX",86.9375
"Henderson County, NC",35.416666666666664
"Hendricks County, IN",49.604166666666664
"Hennepin County, MN",654.9791666666666
"Henrico County, VA",167.3125
"Henry County, GA",111.8125
"Hernando County, FL",63.541666666666664
"Hidalgo County, TX",392.2708333333333
"Hillsborough County, FL",664.375
"Hillsborough County, NH",149.58333333333334
"Hinds County, MS",101.95833333333333
"Honolulu County, HI",568.5625
"Horry County, SC",88.27083333333333
"Houston County, AL",38.458333333333336
"Houston County, GA",70.27083333333333
"Howard County, MD",117.95833333333333
"Hudson County, NJ",338.2291666666667
"Humboldt County, CA",59.9375
"Hunterdon County, NJ",31.875
"Imperial County, CA",136.52083333333334
"Indian River County, FL",41.729166666666664
"Ingham County, MI",113.29166666666667
"Iredell County, NC",60.291666666666664
"Jackson County, MI",58.645833333333336
"Jackson County, MO",306.375
"Jackson County, MS",44.208333333333336
"Jackson County, OR",68.47916666666667
"Jasper County, MO",47.708333333333336
"Jefferson County, AL",327.25
"Jefferson County, CO",228.72916666666666
"Jefferson County, KY",325.1666666666667
"Jefferson County, MO",65.89583333333333
"Jefferson County, NY",72.27083333333333
"Jefferson County, TX",90.39583333333333
"Jefferson Parish, LA",188.47916666666666
"Johnson County, IA",63.4375
"Johnson County, IN",51.354166666666664
"Johnson County, KS",247.79166666666666
"Johnson County, TX",71.54166666666667
"Johnston County, NC",65.52083333333333
"Kalamazoo County, MI",124.02083333333333
