county,Pop2010
"Lewis County, KY",13870
"Lincoln County, KY",24742
"Livingston County, KY",9519
"Logan County, KY",26835
"Lyon County, KY",8314
"McCracken County, KY",65565
"McCreary County, KY",18306
"McLean County, KY",9531
"Madison County, KY",82916
"Magoffin County, KY",13333
"Marion County, KY",19820
"Marshall County, KY",31448
"Martin County, KY",12929
"Mason County, KY",17490
"Meade County, KY",28602
"Menifee County, KY",6306
"Mercer County, KY",21331
"Metcalfe County, KY",10099
"Monroe County, KY",10963
"Montgomery County, KY",26499
"Morgan County, KY",13923
"Muhlenberg County, KY",31499
"Nelson County, KY",43437
"Nicholas County, KY",7135
"Ohio County, KY",23842
"Oldham County, KY",60316
"Owen County, KY",10841
"Owsley County, KY",4755
"Pendleton County, KY",14877
"Perry County, KY",28712
"Pike County, KY",65024
"Powell County, KY",12613
"Pulaski County, KY",63063
"Robertson County, KY",2282
"Rockcastle County, KY",17056
"Rowan County, KY",23333
"Russell County, KY",17565
"Scott County, KY",47173
"Shelby County, KY",42074
"Simpson County, KY",17327
"Spencer County, KY",17061
"Taylor County, KY",24512
"Todd County, KY",12460
"Trigg County, KY",14339
"Trimble County, KY",8809
"Union County, KY",15007
"Warren County, KY",113792
"Washington County, KY",11717
"Wayne County, KY",20813
"Webster County, KY",13621
"Whitley County, KY",35637
"Wolfe County, KY",7355
"Woodford County, KY",24939
"Acadia Parish, LA",61773
"Allen Parish, LA",25764
"Ascension Parish, LA",107215
"Assumption Parish, LA",23421
"Avoyelles Parish, LA",42073
"Beauregard Parish, LA",35654
"Bienville Parish, LA",14353
"Bossier Parish, LA",116979
"Caddo Parish, LA",254969
"Calcasieu Parish, LA",192768
"Caldwell Parish, LA",10132
"Cameron Parish, LA",6839
"Catahoula Parish, LA",10407
"Claiborne Parish, LA",17195
"Concordia Parish, LA",20822
"De Soto Parish, LA",26656
"East Baton Rouge Parish, LA",440171
"East Carroll Parish, LA",7759
"East Feliciana Parish, LA",20267
"Evangeline Parish, LA",33984
"Franklin Parish, LA",20767
"Grant Parish, LA",22309
"Iberia Parish, LA",73240
"Iberville Parish, LA",33387
"Jackson Parish, LA",16274
"Jefferson Parish, LA",432552
"Jefferson Davis Parish, LA",31594
"Lafayette Parish, LA",221578
"Lafourche Parish, LA",96318
"LaSalle Parish, LA",14890
"Lincoln Parish, LA",46735
"Livingston Parish, LA",128026
"Madison Parish, LA",12093
"Morehouse Parish, LA",27979
"Natchitoches Parish, LA",39566
"Orleans Parish, LA",343829
"Ouachita Parish, LA",153720
"Plaquemines Parish, LA",23042
"Pointe Coupee Parish, LA",22802
"Rapides Parish, LA",131613
"Red River Parish, LA",9091
"Richland Parish, LA",20725
"Sabine Parish, LA",24233
"St. Bernard Parish, LA",35897
"St. Charles Parish, LA",52780
"St. Helena Parish, LA",11203
"St. James Parish, LA",22102
"St. John the Baptist Parish, LA",45924
"St. Landry Parish, LA",83384
"St. Martin Parish, LA",52160
"St. Mary Parish, LA",54650
"St. Tammany Parish, LA",233740
"Tangipahoa Parish, LA",121097
"Tensas Parish, LA",5252
"Terrebonne Parish, LA",111860
"Union Parish, LA",22721
"Vermilion Parish, LA",57999
"Vernon Parish, LA",52334
"Washington Parish, LA",47168
"Webster Parish, LA",41207
"West Baton Rouge Parish, LA",23788
"West Carroll Parish, LA",11604
"West Feliciana Parish, LA",15625
"Winn Parish, LA",15313
"Androscoggin County, ME",107702
"Aroostook County, ME",71870
"Cumberland County, ME",281674
"Franklin County, ME",30768
"Hancock County, ME",54418
"Kennebec County, ME",122151
"Knox County, ME",39736
"Lincoln County, ME",34457
"Oxford County, ME",57833
"Penobscot County, ME",153923
"Piscataquis County, ME",17535
"Sagadahoc County, ME",35293
"Somerset County, ME",52228
"Waldo County, ME",38786
"Washington County, ME",32856
"York County, ME",197131
"Allegany County, MD",75087
"Anne Arundel County, MD",537656
"Baltimore County, MD",805029
"Calvert County, MD",88737
"Caroline County, MD",33066
"Carroll County, MD",167134
"Cecil County, MD",101108
"Charles County, MD",146551
"Dorchester County, MD",32618
"Frederick County, MD",233385
"Garrett County, MD",30097
"Harford County, MD",244826
"Howard County, MD",287085
"Kent County, MD",20197
"Montgomery County, MD",971777
"Prince George's County, MD",863420
"Queen Anne's County, MD",47798
"St. Mary's County, MD",105151
"Somerset County, MD",26470
"Talbot County, MD",37782
"Washington County, MD",147430
"Wicomico County, MD",98733
"Worcester County, MD",51454
"Baltimore city, MD",620961
"Barnstable County, MA",215888
"Berkshire County, MA",131219
"Bristol County, MA",548285
"Dukes County, MA",16535
"Essex County, MA",743159
"Franklin County, MA",71372
"Hampden County, MA",463490
"Hampshire County, MA",158080
"Middlesex County, MA",1503085
"Nantucket County, MA",10172
"Norfolk County, MA",670850
"Plymouth County, MA",494919
"Suffolk County, MA",722023
"Worcester County, MA",798552
"Alcona County, MI",10942
"Alger County, MI",9601
"Allegan County, MI",111408
"Alpena County, MI",29598
"Antrim County, MI",23580
"Arenac County, MI",15899
"Baraga County, MI",8860
"Barry County, MI",59173
"Bay County, MI",107771
"Benzie County, MI",17525
"Berrien County, MI",156813
"Branch County, MI",45248
"Calhoun County, MI",136146
"Cass County, MI",52293
"Charlevoix County, MI",25949
"Cheboygan County, MI",26152
"Chippewa County, MI",38520
"Clare County, MI",30926
"Clinton County, MI",75382
"Crawford County, MI",14074
"Delta County, MI",37069
"Dickinson County, MI",26168
"Eaton County, MI",107759
"Emmet County, MI",32694
"Genesee County, MI",425790
"Gladwin County, MI",25692
"Gogebic County, MI",16427
"Grand Traverse County, MI",86986
"Gratiot County, MI",42476
"Hillsdale County, MI",46688
"Houghton County, MI",36628
"Huron County, MI",33118
"Ingham County, MI",280895
"Ionia County, MI",63905
"Iosco County, MI",25887
"Iron County, MI",11817
"Isabella County, MI",70311
"Jackson County, MI",160248
"Kalamazoo County, MI",250331
"Kalkaska County, MI",17153
"Kent County, MI",602622
"Keweenaw County, MI",2156
"Lake County, MI",11539
"Lapeer County, MI",88319
"Leelanau County, MI",21708
"Lenawee County, MI",99892
"Livingston County, MI",180967
"Luce County, MI",6631
"Mackinac County, MI",11113
"Macomb County, MI",840978
"Manistee County, MI",24733
"Marquette County, MI",67077
"Mason County, MI",28705
"Mecosta County, MI",42798
"Menominee County, MI",24029
"Midland County, MI",83629
"Missaukee County, MI",14849
"Monroe County, MI",152021
"Montcalm County, MI",63342
"Montmorency County, MI",9765
"Muskegon County, MI",172188
"Newaygo County, MI",48460
"Oakland County, MI",1202362
"Oceana County, MI",26570
"Ogemaw County, MI",21699
"Ontonagon County, MI",6780
"Osceola County, MI",23528
"Oscoda County, MI",8640
"Otsego County, MI",24164
"Ottawa County, MI",263801
"Presque Isle County, MI",13376
"Roscommon County, MI",24449
"Saginaw County, MI",200169
"St. Clair County, MI",163040
"St. Joseph County, MI",61295
"Sanilac County, MI",43114
"Schoolcraft County, MI",8485
"Shiawassee County, MI",70648
"Tuscola County, MI",55729
"Van Buren County, MI",76258
"Washtenaw County, MI",344791
"Wayne County, MI",1820584
"Wexford County, MI",32735
"Aitkin County, MN",16202
"Anoka County, MN",330844
"Becker County, MN",32504
"Beltrami County, MN",44442
"Benton County, MN",38451
"Big Stone County, MN",5269
"Blue Earth County, MN",64013
"Brown County, MN",25893
"Carlton County, MN",35386
"Carver County, MN",91042
"Cass County, MN",28567
"Chippewa County, MN",12441
"Chisago County, MN",53887
"Clay County, MN",58999
"Clearwater County, MN",8695
"Cook County, MN",5176
"Cottonwood County, MN",11687
"Crow Wing County, MN",62500
"Dakota County, MN",398552
"Dodge County, MN",20087
"Douglas County, MN",36009
"Faribault County, MN",14553
"Fillmore County, MN",20866
"Freeborn County, MN",31255
"Goodhue County, MN",46183
"Grant County, MN",6018
"Hennepin County, MN",1152425
"Houston County, MN",19027
"Hubbard County, MN",20428
"Isanti County, MN",37816
"Itasca County, MN",45058
"Jackson County, MN",10266
"Kanabec County, MN",16239
"Kandiyohi County, MN",42239
"Kittson County, MN",4552
"Koochiching County, MN",13311
"Lac qui Parle County, MN",7259
"Lake County, MN",10866
"Lake of the Woods County, MN",4045
"Le Sueur County, MN",27703
"Lincoln County, MN",5896
"Lyon County, MN",25857
"McLeod County, MN",36651
"Mahnomen County, MN",5413
"Marshall County, MN",9439
"Martin County, MN",20840
"Meeker County, MN",23300
"Mille Lacs County, MN",26097
"Morrison County, MN",33198
"Mower County, MN",39163
"Murray County, MN",8725
"Nicollet County, MN",32727
"Nobles County, MN",21378
"Norman County, MN",6852
"Olmsted County, MN",144248
"Otter Tail County, MN",57303
"Pennington County, MN",13930
"Pine County, MN",29750
"Pipestone County, MN",9596
"Polk County, MN",31600
"Pope County, MN",10995
"Ramsey County, MN",508640
"Red Lake County, MN",4089
"Redwood County, MN",16059
"Renville County, MN",15730
"Rice County, MN",64142
"Rock County, MN",9687
"Roseau County, MN",15629
"St. Louis County, MN",200226
"Scott County, MN",129928
"Sherburne County, MN",88499
"Sibley County, MN",15226
"Stearns County, MN",150642
"Steele County, MN",36576
"Stevens County, MN",9726
"Swift County, MN",9783
"Todd County, MN",24895
"Traverse County, MN",3558
"Wabasha County, MN",21676
"Wadena County, MN",13843
"Waseca County, MN",19136
"Washington County, MN",238136
"Watonwan County, MN",11211
"Wilkin County, MN",6576
"Winona County, MN",51461
"Wright County, MN",124700
"Yellow Medicine County, MN",10438
"Adams County, MS",32297
"Alcorn County, MS",37057
"Amite County, MS",13131
"Attala County, MS",19564
"Benton County, MS",8729
"Bolivar County, MS",34145
"Calhoun County, MS",14962
"Carroll County, MS",10597
"Chickasaw County, MS",17392
"Choctaw County, MS",8547
"Claiborne County, MS",9604
"Clarke County, MS",16732
"Clay County, MS",20634
"Coahoma County, MS",26151
"Copiah County, MS",29449
"Covington County, MS",19568
"DeSoto County, MS",161252
"Forrest County, MS",74934
"Franklin County, MS",8118
"George County, MS",22578
"Greene County, MS",14400
"Grenada County, MS",21906
"Hancock County, MS",43929
"Harrison County, MS",187105
"Hinds County, MS",245285
"Holmes County, MS",19198
"Humphreys County, MS",9375
"Issaquena County, MS",1406
"Itawamba County, MS",23401
"Jackson County, MS",139668
"Jasper County, MS",17062
"Jefferson County, MS",7726
"Jefferson Davis County, MS",12487
"Jones County, MS",67761
"Kemper County, MS",10456
"Lafayette County, MS",47351
"Lamar County, MS",55658
"Lauderdale County, MS",80261
"Lawrence County, MS",12929
"Leake County, MS",23805
"Lee County, MS",82910
"Leflore County, MS",32317
"Lincoln County, MS",34869
"Lowndes County, MS",59779
"Madison County, MS",95203
"Marion County, MS",27088
"Marshall County, MS",37144
"Monroe County, MS",36989
"Montgomery County, MS",10925
"Neshoba County, MS",29676
"Newton County, MS",21720
"Noxubee County, MS",11545
"Oktibbeha County, MS",47671
"Panola County, MS",34707
"Pearl River County, MS",55834
"Perry County, MS",12250
"Pike County, MS",40404
"Pontotoc County, MS",29957
"Prentiss County, MS",25276
"Quitman County, MS",8223
"Rankin County, MS",141617
"Scott County, MS",28264
"Sharkey County, MS",4916
"Simpson County, MS",27503
"Smith County, MS",16491
"Stone County, MS",17786
"Sunflower County, MS",29450
"Tallahatchie County, MS",15378
"Tate County, MS",28886
"Tippah County, MS",22232
"Tishomingo County, MS",19593
"Tunica County, MS",10778
"Union County, MS",27134
"Walthall County, MS",15443
"Warren County, MS",48773
"Washington County, MS",51137
"Wayne County, MS",20747
"Webster County, MS",10253
"Wilkinson County, MS",9878
"Winston County, MS",19198
"Yalobusha County, MS",12678
"Yazoo County, MS",28065
"Adair County, MO",25607
"Andrew County, MO",17291
"Atchison County, MO",5685
"Audrain County, MO",25529
"Barry County, MO",35597
"Barton County, MO",12402
"Bates County, MO",17049
"Benton County, MO",19056
"Bollinger County, MO",12363
"Boone County, MO",162642
"Buchanan County, MO",89201
"Butler County, MO",42794
"Caldwell County, MO",9424
"Callaway County, MO",44332
"Camden County, MO",44002
"Cape Girardeau County, MO",75674
"Carroll County, MO",9295
"Carter County, MO",6265
"Cass County, MO",99478
"Cedar County, MO",13982
"Chariton County, MO",7831
"Christian County, MO",77422
"Clark County, MO",7139
"Clay County, MO",221939
"Clinton County, MO",20743
"Cole County, MO",75990
"Cooper County, MO",17601
"Crawford County, MO",24696
"Dade County, MO",7883
"Dallas County, MO",16777
"Daviess County, MO",8433
"DeKalb County, MO",12892
"Dent County, MO",15657
"Douglas County, MO",13684
"Dunklin County, MO",31953
"Franklin County, MO",101492
"Gasconade County, MO",15222
"Gentry County, MO",6738
"Greene County, MO",275174
"Grundy County, MO",10261
"Harrison County, MO",8957
"Henry County, MO",22272
"Hickory County, MO",9627
"Holt County, MO",4912
"Howard County, MO",10144
"Howell County, MO",40400
"Iron County, MO",10630
"Jackson County, MO",674158
"Jasper County, MO",117404
"Jefferson County, MO",218733
"Johnson County, MO",52595
"Knox County, MO",4131
"Laclede County, MO",35571
"Lafayette County, MO",33381
"Lawrence County, MO",38634
"Lewis County, MO",10211
"Lincoln County, MO",52566
"Linn County, MO",12761
"Livingston County, MO",15195
"McDonald County, MO",23083
"Macon County, MO",15566
"Madison County, MO",12226
"Maries County, MO",9176
"Marion County, MO",28781
"Mercer County, MO",3785
"Miller County, MO",24748
"Mississippi County, MO",14358
"Moniteau County, MO",15607
"Monroe County, MO",8840
"Montgomery County, MO",12236
"Morgan County, MO",20565
"New Madrid County, MO",18956
"Newton County, MO",58114
"Nodaway County, MO",23370
"Oregon County, MO",10881
"Osage County, MO",13878
"Ozark County, MO",9723
"Pemiscot County, MO",18296
"Perry County, MO",18971
"Pettis County, MO",42201
"Phelps County, MO",45156
"Pike County, MO",18516
"Platte County, MO",89322
"Polk County, MO",31137
"Pulaski County, MO",52274
"Putnam County, MO",4979
"Ralls County, MO",10167
"Randolph County, MO",25414
"Ray County, MO",23494
"Reynolds County, MO",6696
"Ripley County, MO",14100
"St. Charles County, MO",360485
"St. Clair County, MO",9805
"Ste. Genevieve County, MO",18145
"St. Francois County, MO",65359
"St. Louis County, MO",998954
"Saline County, MO",23370
"Schuyler County, MO",4431
"Scotland County, MO",4843
"Scott County, MO",39191
"Shannon County, MO",8441
"Shelby County, MO",6373
"Stoddard County, MO",29968
"Stone County, MO",32202
"Sullivan County, MO",6714
"Taney County, MO",51675
"Texas County, MO",26008
"Vernon County, MO",21159
"Warren County, MO",32513
"Washington County, MO",25195
"Wayne County, MO",13521
"Webster County, MO",36202
"Worth County, MO",2171
"Wright County, MO",18815
"St. Louis city, MO",319294
"Beaverhead County, MT",9246
"Big Horn County, MT",12865
"Blaine County, MT",6491
"Broadwater County, MT",5612
"Carbon County, MT",10078
"Carter County, MT",1160
"Cascade County, MT",81327
"Chouteau County, MT",5813
"Custer County, MT",11699
"Daniels County, MT",1751
"Dawson County, MT",8966
"Deer Lodge County, MT",9298
"Fallon County, MT",2890
"Fergus County, MT",11586
"Flathead County, MT",90928
"Gallatin County, MT",89513
"Garfield County, MT",1206
"Glacier County, MT",13399
"Golden Valley County, MT",884
"Granite County, MT",3079
"Hill County, MT",16096
"Jefferson County, MT",11406
"Judith Basin County, MT",2072
"Lake County, MT",28746
"Lewis and Clark County, MT",63395
"Liberty County, MT",2339
"Lincoln County, MT",19687
"McCone County, MT",1734
"Madison County, MT",7691
"Meagher County, MT",1891
"Mineral County, MT",4223
"Missoula County, MT",109299
"Musselshell County, MT",4538
"Park County, MT",15636
"Petroleum County, MT",494
"Phillips County, MT",4253
"Pondera County, MT",6153
"Powder River County, MT",1743
"Powell County, MT",7027
"Prairie County, MT",1179
"Ravalli County, MT",40212
"Richland County, MT",9746
"Roosevelt County, MT",10425
"Rosebud County, MT",9233
"Sanders County, MT",11413
"Sheridan County, MT",3384
"Silver Bow County, MT",34200
"Stillwater County, MT",9117
"Sweet Grass County, MT",3651
"Teton County, MT",6073
"Toole County, MT",5324
"Treasure County, MT",718
"Valley County, MT",7369
"Wheatland County, MT",2168
"Wibaux County, MT",1017
"Yellowstone County, MT",147972
"Adams County, NE",31364
"Antelope County, NE",6685
"Arthur County, NE",460
"Banner County, NE",690
"Blaine County, NE",478
"Boone County, NE",5505
"Box Butte County, NE",11308
"Boyd County, NE",2099
"Brown County, NE",3145
"Buffalo County, NE",46102
"Burt County, NE",6858
"Butler County, NE",8395
"Cass County, NE",25241
"Cedar County, NE",8852
"Chase County, NE",3966
"Cherry County, NE",5713
"Cheyenne County, NE",9998
"Clay County, NE",6542
"Colfax County, NE",10515
"Cuming County, NE",9139
"Custer County, NE",10939
"Dakota County, NE",21006
"Dawes County, NE",9182
"Dawson County, NE",24326
"Deuel County, NE",1941
"Dixon County, NE",6000
"Dodge County, NE",36691
"Douglas County, NE",517110
"Dundy County, NE",2008
"Fillmore County, NE",5890
"Franklin County, NE",3225
"Frontier County, NE",2756
"Furnas County, NE",4959
"Gage County, NE",22311
"Garden County, NE",2057
"Garfield County, NE",2049
"Gosper County, NE",2044
"Grant County, NE",614
"Greeley County, NE",2538
"Hall County, NE",58607
"Hamilton County, NE",9124
"Harlan County, NE",3423
"Hayes County, NE",967
"Hitchcock County, NE",2908
"Holt County, NE",10435
"Hooker County, NE",736
"Howard County, NE",6274
"Jefferson County, NE",7547
"Johnson County, NE",5217
"Kearney County, NE",6489
"Keith County, NE",8368
"Keya Paha County, NE",824
"Kimball County, NE",3821
"Knox County, NE",8701
"Lancaster County, NE",285407
"Lincoln County, NE",36288
"Logan County, NE",763
"Loup County, NE",632
"McPherson County, NE",539
"Madison County, NE",34876
"Merrick County, NE",7845
"Morrill County, NE",5042
"Nance County, NE",3735
"Nemaha County, NE",7248
"Nuckolls County, NE",4500
"Otoe County, NE",15740
"Pawnee County, NE",2773
"Perkins County, NE",2970
"Phelps County, NE",9188
"Pierce County, NE",7266
"Platte County, NE",32237
"Polk County, NE",5406
"Red Willow County, NE",11055
"Richardson County, NE",8363
"Rock County, NE",1526
"Saline County, NE",14200
"Sarpy County, NE",158840
"Saunders County, NE",20780
"Scotts Bluff County, NE",36970
"Seward County, NE",16750
"Sheridan County, NE",5469
"Sherman County, NE",3152
"Sioux County, NE",1311
"Stanton County, NE",6129
"Thayer County, NE",5228
"Thomas County, NE",647
"Thurston County, NE",6940
"Valley County, NE",4260
"Washington County, NE",20234
"Wayne County, NE",9595
"Webster County, NE",3812
"Wheeler County, NE",818
"York County, NE",13665
"Churchill County, NV",24877
"Clark County, NV",1951269
"Douglas County, NV",46997
"Elko County, NV",48818
"Esmeralda County, NV",783
"Eureka County, NV",1987
"Humboldt County, NV",16528
"Lander County, NV",5775
"Lincoln County, NV",5345
"Lyon County, NV",51980
"Mineral County, NV",4772
"Nye County, NV",43946
"Pershing County, NV",6753
"Storey County, NV",4010
"Washoe County, NV",421407
"White Pine County, NV",10030
"Carson City, NV",55274
"Belknap County, NH",60088
"Carroll County, NH",47818
"Cheshire County, NH",77117
"Coos County, NH",33055
"Grafton County, NH",89118
"Hillsborough County, NH",400721
"Merrimack County, NH",146445
"Rockingham County, NH",295223
"Strafford County, NH",123143
"Sullivan County, NH",43742
"Atlantic County, NJ",274549
"Bergen County, NJ",905116
"Burlington County, NJ",448734
"Camden County, NJ",513657
"Cape May County, NJ",97265
"Cumberland County, NJ",156898
"Essex County, NJ",783969
"Gloucester County, NJ",288288
"Hudson County, NJ",634266
"Hunterdon County, NJ",128349
"Mercer County, NJ",366513
"Middlesex County, NJ",809858
"Monmouth County, NJ",630380
"Morris County, NJ",492276
"Ocean County, NJ",576567
"Passaic County, NJ",501226
"Salem County, NJ",66083
"Somerset County, NJ",323444
"Sussex County, NJ",149265
"Union County, NJ",536499
"Warren County, NJ",108692
"Bernalillo County, NM",662564
"Catron County, NM",3725
"Chaves County, NM",65645
"Cibola County, NM",27213
"Colfax County, NM",13750
"Curry County, NM",48376
"De Baca County, NM",2022
"Doña Ana County, NM",209233
"Eddy County, NM",53829
"Grant County, NM",29514
"Guadalupe County, NM",4687
"Harding County, NM",695
"Hidalgo County, NM",4894
"Lea County, NM",64727
"Lincoln County, NM",20497
"Los Alamos County, NM",17950
"Luna County, NM",25095
"McKinley County, NM",71492
"Mora County, NM",4881
"Otero County, NM",63797
"Quay County, NM",9041
"Rio Arriba County, NM",40246
"Roosevelt County, NM",19846
"Sandoval County, NM",131561
"San Juan County, NM",130044
"San Miguel County, NM",29393
"Santa Fe County, NM",144170
"Sierra County, NM",11988
"Socorro County, NM",17866
"Taos County, NM",32937
"Torrance County, NM",16383
"Union County, NM",4549
"Valencia County, NM",76569
"Albany County, NY",304204
"Allegany County, NY",48946
"Bronx County, NY",1385108
"Broome County, NY",200600
"Cattaraugus County, NY",80317
"Cayuga County, NY",80026
"Chautauqua County, NY",134905
"Chemung County, NY",88830
"Chenango County, NY",50477
"Clinton County, NY",82128
"Columbia County, NY",63096
"Cortland County, NY",49336
"Delaware County, NY",47980
"Dutchess County, NY",297488
"Erie County, NY",919040
"Essex County, NY",39370
"Franklin County, NY",51599
"Fulton County, NY",55531
"Genesee County, NY",60079
"Greene County, NY",49221
"Hamilton County, NY",4836
"Herkimer County, NY",64519
"Jefferson County, NY",116229
"Kings County, NY",2504700
"Lewis County, NY",27087
"Livingston County, NY",65393
"Madison County, NY",73442
"Monroe County, NY",744344
"Montgomery County, NY",50219
"Nassau County, NY",1339532
"New York County, NY",1585873
"Niagara County, NY",216469
"Oneida County, NY",234878
"Onondaga County, NY",467026
"Ontario County, NY",107931
"Orange County, NY",372813
"Orleans County, NY",42883
"Oswego County, NY",122109
"Otsego County, NY",62259
"Putnam County, NY",99710
"Queens County, NY",2230722
"Rensselaer County, NY",159429
"Richmond County, NY",468730
"Rockland County, NY",311687
"St. Lawrence County, NY",111944
"Saratoga County, NY",219607
"Schenectady County, NY",154727
"Schoharie County, NY",32749
"Schuyler County, NY",18343
"Seneca County, NY",35251
"Steuben County, NY",98990
"Suffolk County, NY",1493350
"Sullivan County, NY",77547
"Tioga County, NY",51125
"Tompkins County, NY",101564
"Ulster County, NY",182493
"Warren County, NY",65707
"Washington County, NY",63216
"Wayne County, NY",93772
"Westchester County, NY",949113
"Wyoming County, NY",42155
"Yates County, NY",25348
"Alamance County, NC",151131
"Alexander County, NC",37198
"Alleghany County, NC",11155
"Anson County, NC",26948
"Ashe County, NC",27281
"Avery County, NC",17797
"Beaufort County, NC",47759
"Bertie County, NC",21282
"Bladen County, NC",35190
"Brunswick County, NC",107431
"Buncombe County, NC",238318
"Burke County, NC",90912
"Cabarrus County, NC",178011
"Caldwell County, NC",83029
"Camden County, NC",9980
"Carteret County, NC",66469
"Caswell County, NC",23719
"Catawba County, NC",154358
"Chatham County, NC",63505
"Cherokee County, NC",27444
"Chowan County, NC",14793
"Clay County, NC",10587
"Cleveland County, NC",98078
"Columbus County, NC",58098
"Craven County, NC",103505
"Cumberland County, NC",319431
"Currituck County, NC",23547
"Dare County, NC",33920
"Davidson County, NC",162878
"Davie County, NC",41240
"Duplin County, NC",58505
"Durham County, NC",267587
"Edgecombe County, NC",56552
"Forsyth County, NC",350670
"Franklin County, NC",60619
"Gaston County, NC",206086
"Gates County, NC",12197
"Graham County, NC",8861
"Granville County, NC",59916
"Greene County, NC",21362
"Guilford County, NC",488406
"Halifax County, NC",54691
"Harnett County, NC",114678
"Haywood County, NC",59036
"Henderson County, NC",106740
"Hertford County, NC",24669
"Hoke County, NC",46952
"Hyde County, NC",5810
"Iredell County, NC",159437
"Jackson County, NC",40271
"Johnston County, NC",168878
"Jones County, NC",10153
"Lee County, NC",57866
"Lenoir County, NC",59495
"Lincoln County, NC",78265
"McDowell County, NC",44996
"Macon County, NC",33922
"Madison County, NC",20764
"Martin County, NC",24505
"Mecklenburg County, NC",919628
"Mitchell County, NC",15579
"Montgomery County, NC",27798
"Moore County, NC",88247
"Nash County, NC",95840
"New Hanover County, NC",202667
"Northampton County, NC",22099
"Onslow County, NC",177772
"Orange County, NC",133801
"Pamlico County, NC",13144
"Pasquotank County, NC",40661
"Pender County, NC",52217
"Perquimans County, NC",13453
"Person County, NC",39464
"Pitt County, NC",168148
"Polk County, NC",20510
"Randolph County, NC",141752
"Richmond County, NC",46639
"Robeson County, NC",134168
"Rockingham County, NC",93643
"Rowan County, NC",138428
"Rutherford County, NC",67810
"Sampson County, NC",63431
"Scotland County, NC",36157
"Stanly County, NC",60585
"Stokes County, NC",47401
"Surry County, NC",73673
"Swain County, NC",13981
"Transylvania County, NC",33090
"Tyrrell County, NC",4407
"Union County, NC",201292
"Vance County, NC",45422
"Wake County, NC",900993
"Warren County, NC",20972
"Washington County, NC",13228
"Watauga County, NC",51079
"Wayne County, NC",122623
"Wilkes County, NC",69340
"Wilson County, NC",81234
"Yadkin County, NC",38406
"Yancey County, NC",17818
"Adams County, ND",2343
"Barnes County, ND",11066
"Benson County, ND",6660
"Billings County, ND",783
"Bottineau County, ND",6429
"Bowman County, ND",3151
"Burke County, ND",1968
"Burleigh County, ND",81308
"Cass County, ND",149778
"Cavalier County, ND",3993
"Dickey County, ND",5289
"Divide County, ND",2071
"Dunn County, ND",3536
"Eddy County, ND",2385
"Emmons County, ND",3550
"Foster County, ND",3343
"Golden Valley County, ND",1680
"Grand Forks County, ND",66861
"Grant County, ND",2394
"Griggs County, ND",2420
"Hettinger County, ND",2477
"Kidder County, ND",2435
"LaMoure County, ND",4139
"Logan County, ND",1990
"McHenry County, ND",5395
"McIntosh County, ND",2809
"McKenzie County, ND",6360
"McLean County, ND",8962
"Mercer County, ND",8424
"Morton County, ND",27471
"Mountrail County, ND",7673
"Nelson County, ND",3126
"Oliver County, ND",1846
"Pembina County, ND",7413
"Pierce County, ND",4357
"Ramsey County, ND",11451
"Ransom County, ND",5457
"Renville County, ND",2470
"Richland County, ND",16321
"Rolette County, ND",13937
"Sargent County, ND",3829
"Sheridan County, ND",1321
"Sioux County, ND",4153
"Slope County, ND",727
"Stark County, ND",24199
"Steele County, ND",1975
"Stutsman County, ND",21100
"Towner County, ND",2246
"Traill County, ND",8121
"Walsh County, ND",11119
"Ward County, ND",61675
"Wells County, ND",4207
"Williams County, ND",22398
"Adams County, OH",28550
"Allen County, OH",106331
"Ashland County, OH",53139
"Ashtabula County, OH",101497
"Athens County, OH",64757
"Auglaize County, OH",45949
"Belmont County, OH",70400
"Brown County, OH",44846
"Butler County, OH",368130
"Carroll County, OH",28836
"Champaign County, OH",40097
"Clark County, OH",138333
"Clermont County, OH",197363
"Clinton County, OH",42040
"Columbiana County, OH",107841
"Coshocton County, OH",36901
"Crawford County, OH",43784
"Cuyahoga County, OH",1280122
"Darke County, OH",52959
"Defiance County, OH",39037
"Delaware County, OH",174214
"Erie County, OH",77079
"Fairfield County, OH",146156
"Fayette County, OH",29030
"Franklin County, OH",1163414
"Fulton County, OH",42698
"Gallia County, OH",30934
"Geauga County, OH",93389
"Greene County, OH",161573
"Guernsey County, OH",40087
"Hamilton County, OH",802374
"Hancock County, OH",74782
"Hardin County, OH",32058
"Harrison County, OH",15864
"Henry County, OH",28215
"Highland County, OH",43589
"Hocking County, OH",29380
"Holmes County, OH",42366
"Huron County, OH",59626
"Jackson County, OH",33225
"Jefferson County, OH",69709
"Knox County, OH",60921
"Lake County, OH",230041
"Lawrence County, OH",62450
"Licking County, OH",166492
"Logan County, OH",45858
"Lorain County, OH",301356
"Lucas County, OH",441815
"Madison County, OH",43435
"Mahoning County, OH",238823
"Marion County, OH",66501
"Medina County, OH",172332
"Meigs County, OH",23770
"Mercer County, OH",40814
"Miami County, OH",102506
"Monroe County, OH",14642
"Montgomery County, OH",535153
"Morgan County, OH",15054
"Morrow County, OH",34827
"Muskingum County, OH",86074
"Noble County, OH",14645
"Ottawa County, OH",41428
"Paulding County, OH",19614
"Perry County, OH",36058
"Pickaway County, OH",55698
"Pike County, OH",28709
"Portage County, OH",161419
"Preble County, OH",42270
"Putnam County, OH",34499
