county,Pop2010
"Sierra County, CA",3240
"Siskiyou County, CA",44900
"Solano County, CA",413344
"Sonoma County, CA",483878
"Stanislaus County, CA",514453
"Sutter County, CA",94737
"Tehama County, CA",63463
"Trinity County, CA",13786
"Tulare County, CA",442179
"Tuolumne County, CA",55365
"Ventura County, CA",823318
"Yolo County, CA",200849
"Yuba County, CA",72155
"Adams County, CO",441603
"Alamosa County, CO",15445
"Arapahoe County, CO",572003
"Archuleta County, CO",12084
"Baca County, CO",3788
"Bent County, CO",6499
"Boulder County, CO",294567
"Broomfield County, CO",55889
"Chaffee County, CO",17809
"Cheyenne County, CO",1836
"Clear Creek County, CO",9088
"Conejos County, CO",8256
"Costilla County, CO",3524
"Crowley County, CO",5823
"Custer County, CO",4255
"Delta County, CO",30952
"Denver County, CO",600158
"Dolores County, CO",2064
"Douglas County, CO",285465
"Eagle County, CO",52197
"Elbert County, CO",23086
"El Paso County, CO",622263
"Fremont County, CO",46824
"Garfield County, CO",56389
"Gilpin County, CO",5441
"Grand County, CO",14843
"Gunnison County, CO",15324
"Hinsdale County, CO",843
"Huerfano County, CO",6711
"Jackson County, CO",1394
"Jefferson County, CO",534543
"Kiowa County, CO",1398
"Kit Carson County, CO",8270
"Lake County, CO",7310
"La Plata County, CO",51334
"Larimer County, CO",299630
"Las Animas County, CO",15507
"Lincoln County, CO",5467
"Logan County, CO",22709
"Mesa County, CO",146723
"Mineral County, CO",712
"Moffat County, CO",13795
"Montezuma County, CO",25535
"Montrose County, CO",41276
"Morgan County, CO",28159
"Otero County, CO",18831
"Ouray County, CO",4436
"Park County, CO",16206
"Phillips County, CO",4442
"Pitkin County, CO",17148
"Prowers County, CO",12551
"Pueblo County, CO",159063
"Rio Blanco County, CO",6666
"Rio Grande County, CO",11982
"Routt County, CO",23509
"Saguache County, CO",6108
"San Juan County, CO",699
"San Miguel County, CO",7359
"Sedgwick County, CO",2379
"Summit County, CO",27994
"Teller County, CO",23350
"Washington County, CO",4814
"Weld County, CO",252825
"Yuma County, CO",10043
"Fairfield County, CT",916829
"Hartford County, CT",894014
"Litchfield County, CT",189927
"Middlesex County, CT",165676
"New Haven County, CT",862477
"New London County, CT",274055
"Tolland County, CT",152691
"Windham County, CT",118428
"Kent County, DE",162310
"New Castle County, DE",538479
"Sussex County, DE",197145
"Alachua County, FL",247336
"Baker County, FL",27115
"Bay County, FL",168852
"Bradford County, FL",28520
"Brevard County, FL",543376
"Broward County, FL",1748066
"Calhoun County, FL",14625
"Charlotte County, FL",159978
"Citrus County, FL",141236
"Clay County, FL",190865
"Collier County, FL",321520
"Columbia County, FL",67531
"DeSoto County, FL",34862
"Dixie County, FL",16422
"Duval County, FL",864263
"Escambia County, FL",297619
"Flagler County, FL",95696
"Franklin County, FL",11549
"Gadsden County, FL",46389
"Gilchrist County, FL",16939
"Glades County, FL",12884
"Gulf County, FL",15863
"Hamilton County, FL",14799
"Hardee County, FL",27731
"Hendry County, FL",39140
"Hernando County, FL",172778
"Highlands County, FL",98786
