county,year,month,births
"Baldwin County, AL",2016,January,63
"Baldwin County, AL",2016,February,67
"Baldwin County, AL",2016,March,69
"Baldwin County, AL",2016,April,63
"Baldwin County, AL",2016,May,51
"Baldwin County, AL",2016,June,68
"Baldwin County, AL",2016,July,78
"Baldwin County, AL",2016,August,82
"Baldwin County, AL",2016,September,61
"Baldwin County, AL",2016,October,54
"Baldwin County, AL",2016,November,55
"Baldwin County, AL",2016,December,58
"Baldwin County, AL",2017,January,69
"Baldwin County, AL",2017,February,71
"Baldwin County, AL",2017,March,56
"Baldwin County, AL",2017,April,73
"Baldwin County, AL",2017,May,80
"Baldwin County, AL",2017,June,78
"Baldwin County, AL",2017,July,62
"Baldwin County, AL",2017,August,83
"Baldwin County, AL",2017,September,58
"Baldwin County, AL",2017,October,86
"Baldwin County, AL",2017,November,88
"Baldwin County, AL",2017,December,70
"Baldwin County, AL",2018,January,59
"Baldwin County, AL",2018,February,57
"Baldwin County, AL",2018,March,62
"Baldwin County, AL",2018,April,70
"Baldwin County, AL",2018,May,67
"Baldwin County, AL",2018,June,72
"Baldwin County, AL",2018,July,73
"Baldwin County, AL",2018,August,70
"Baldwin County, AL",2018,September,98
"Baldwin County, AL",2018,October,80
"Baldwin County, AL",2018,November,58
"Baldwin County, AL",2018,December,60
"Baldwin County, AL",2019,January,68
"Baldwin County, AL",2019,February,73
"Baldwin County, AL",2019,March,78
"Baldwin County, AL",2019,April,78
"Baldwin County, AL",2019,May,61
"Baldwin County, AL",2019,June,75
"Baldwin County, AL",2019,July,65
"Baldwin County, AL",2019,August,74
"Baldwin County, AL",2019,September,73
"Baldwin County, AL",2019,October,71
"Baldwin County, AL",2019,November,79
"Baldwin County, AL",2019,December,74
"Calhoun County, AL",2016,January,43
"Calhoun County, AL",2016,February,35
"Calhoun County, AL",2016,March,47
"Calhoun County, AL",2016,April,45
"Calhoun County, AL",2016,May,37
"Calhoun County, AL",2016,June,53
"Calhoun County, AL",2016,July,47
"Calhoun County, AL",2016,August,50
"Calhoun County, AL",2016,September,40
"Calhoun County, AL",2016,October,42
"Calhoun County, AL",2016,November,46
"Calhoun County, AL",2016,December,43
"Calhoun County, AL",2017,January,35
"Calhoun County, AL",2017,February,29
"Calhoun County, AL",2017,March,39
"Calhoun County, AL",2017,April,37
"Calhoun County, AL",2017,May,25
"Calhoun County, AL",2017,June,44
"Calhoun County, AL",2017,July,38
"Calhoun County, AL",2017,August,41
"Calhoun County, AL",2017,September,34
"Calhoun County, AL",2017,October,40
"Calhoun County, AL",2017,November,37
"Calhoun County, AL",2017,December,37
"Calhoun County, AL",2018,January,51
"Calhoun County, AL",2018,February,30
"Calhoun County, AL",2018,March,36
"Calhoun County, AL",2018,April,25
"Calhoun County, AL",2018,May,38
"Calhoun County, AL",2018,June,30
"Calhoun County, AL",2018,July,35
"Calhoun County, AL",2018,August,24
"Calhoun County, AL",2018,September,48
"Calhoun County, AL",2018,October,33
"Calhoun County, AL",2018,November,37
"Calhoun County, AL",2018,December,36
"Calhoun County, AL",2019,January,43
"Calhoun County, AL",2019,February,36
"Calhoun County, AL",2019,March,35
"Calhoun County, AL",2019,April,27
"Calhoun County, AL",2019,May,32
"Calhoun County, AL",2019,June,37
"Calhoun County, AL",2019,July,36
"Calhoun County, AL",2019,August,35
"Calhoun County, AL",2019,September,30
"Calhoun County, AL",2019,October,25
"Calhoun County, AL",2019,November,35
"Calhoun County, AL",2019,December,39
"Etowah County, AL",2016,January,49
"Etowah County, AL",2016,February,44
"Etowah County, AL",2016,March,31
"Etowah County, AL",2016,April,34
"Etowah County, AL",2016,May,33
"Etowah County, AL",2016,June,44
"Etowah County, AL",2016,July,43
"Etowah County, AL",2016,August,24
"Etowah County, AL",2016,September,45
"Etowah County, AL",2016,October,44
"Etowah County, AL",2016,November,40
"Etowah County, AL",2016,December,40
"Etowah County, AL",2017,January,30
"Etowah County, AL",2017,February,29
"Etowah County, AL",2017,March,43
"Etowah County, AL",2017,April,39
"Etowah County, AL",2017,May,51
"Etowah County, AL",2017,June,41
"Etowah County, AL",2017,July,39
"Etowah County, AL",2017,August,40
"Etowah County, AL",2017,September,42
"Etowah County, AL",2017,October,39
"Etowah County, AL",2017,November,40
"Etowah County, AL",2017,December,36
"Etowah County, AL",2018,January,24
"Etowah County, AL",2018,February,27
"Etowah County, AL",2018,March,50
"Etowah County, AL",2018,April,25
"Etowah County, AL",2018,May,43
"Etowah County, AL",2018,June,45
"Etowah County, AL",2018,July,28
"Etowah County, AL",2018,August,43
"Etowah County, AL",2018,September,39
"Etowah County, AL",2018,October,44
"Etowah County, AL",2018,November,30
"Etowah County, AL",2018,December,23
"Etowah County, AL",2019,January,37
"Etowah County, AL",2019,February,28
"Etowah County, AL",2019,March,26
"Etowah County, AL",2019,April,25
"Etowah County, AL",2019,May,31
"Etowah County, AL",2019,June,33
"Etowah County, AL",2019,July,38
"Etowah County, AL",2019,August,37
"Etowah County, AL",2019,September,34
"Etowah County, AL",2019,October,37
"Etowah County, AL",2019,November,38
"Etowah County, AL",2019,December,19
"Houston County, AL",2016,January,36
"Houston County, AL",2016,February,37
"Houston County, AL",2016,March,44
"Houston County, AL",2016,April,34
"Houston County, AL",2016,May,51
"Houston County, AL",2016,June,49
"Houston County, AL",2016,July,41
"Houston County, AL",2016,August,36
"Houston County, AL",2016,September,45
"Houston County, AL",2016,October,36
"Houston County, AL",2016,November,41
"Houston County, AL",2016,December,38
"Houston County, AL",2017,January,45
"Houston County, AL",2017,February,29
"Houston County, AL",2017,March,34
"Houston County, AL",2017,April,42
"Houston County, AL",2017,May,30
"Houston County, AL",2017,June,32
"Houston County, AL",2017,July,53
"Houston County, AL",2017,August,44
"Houston County, AL",2017,September,42
"Houston County, AL",2017,October,37
"Houston County, AL",2017,November,35
"Houston County, AL",2017,December,42
"Houston County, AL",2018,January,47
"Houston County, AL",2018,February,39
"Houston County, AL",2018,March,41
"Houston County, AL",2018,April,30
"Houston County, AL",2018,May,38
"Houston County, AL",2018,June,34
"Houston County, AL",2018,July,29
"Houston County, AL",2018,August,35
"Houston County, AL",2018,September,49
"Houston County, AL",2018,October,54
"Houston County, AL",2018,November,48
"Houston County, AL",2018,December,38
"Houston County, AL",2019,January,29
"Houston County, AL",2019,February,21
"Houston County, AL",2019,March,42
"Houston County, AL",2019,April,31
"Houston County, AL",2019,May,34
"Houston County, AL",2019,June,28
"Houston County, AL",2019,July,34
"Houston County, AL",2019,August,39
"Houston County, AL",2019,September,39
"Houston County, AL",2019,October,43
"Houston County, AL",2019,November,40
"Houston County, AL",2019,December,31
"Jefferson County, AL",2016,January,313
"Jefferson County, AL",2016,February,340
"Jefferson County, AL",2016,March,307
"Jefferson County, AL",2016,April,269
"Jefferson County, AL",2016,May,334
"Jefferson County, AL",2016,June,351
"Jefferson County, AL",2016,July,383
"Jefferson County, AL",2016,August,396
"Jefferson County, AL",2016,September,369
"Jefferson County, AL",2016,October,363
"Jefferson County, AL",2016,November,412
"Jefferson County, AL",2016,December,356
"Jefferson County, AL",2017,January,343
"Jefferson County, AL",2017,February,322
"Jefferson County, AL",2017,March,290
"Jefferson County, AL",2017,April,278
"Jefferson County, AL",2017,May,321
"Jefferson County, AL",2017,June,302
"Jefferson County, AL",2017,July,357
"Jefferson County, AL",2017,August,381
"Jefferson County, AL",2017,September,369
"Jefferson County, AL",2017,October,372
"Jefferson County, AL",2017,November,333
"Jefferson County, AL",2017,December,332
"Jefferson County, AL",2018,January,318
"Jefferson County, AL",2018,February,301
"Jefferson County, AL",2018,March,344
"Jefferson County, AL",2018,April,330
"Jefferson County, AL",2018,May,327
"Jefferson County, AL",2018,June,308
"Jefferson County, AL",2018,July,331
"Jefferson County, AL",2018,August,345
"Jefferson County, AL",2018,September,378
"Jefferson County, AL",2018,October,363
"Jefferson County, AL",2018,November,378
"Jefferson County, AL",2018,December,371
"Jefferson County, AL",2019,January,361
"Jefferson County, AL",2019,February,314
"Jefferson County, AL",2019,March,290
"Jefferson County, AL",2019,April,303
"Jefferson County, AL",2019,May,252
"Jefferson County, AL",2019,June,238
"Jefferson County, AL",2019,July,269
"Jefferson County, AL",2019,August,321
"Jefferson County, AL",2019,September,302
"Jefferson County, AL",2019,October,269
"Jefferson County, AL",2019,November,232
"Jefferson County, AL",2019,December,270
"Lee County, AL",2016,January,64
"Lee County, AL",2016,February,77
"Lee County, AL",2016,March,68
"Lee County, AL",2016,April,60
"Lee County, AL",2016,May,76
"Lee County, AL",2016,June,70
"Lee County, AL",2016,July,68
"Lee County, AL",2016,August,79
"Lee County, AL",2016,September,73
"Lee County, AL",2016,October,77
"Lee County, AL",2016,November,57
"Lee County, AL",2016,December,64
"Lee County, AL",2017,January,74
"Lee County, AL",2017,February,63
"Lee County, AL",2017,March,46
"Lee County, AL",2017,April,64
"Lee County, AL",2017,May,63
"Lee County, AL",2017,June,63
"Lee County, AL",2017,July,71
"Lee County, AL",2017,August,58
"Lee County, AL",2017,September,76
"Lee County, AL",2017,October,58
"Lee County, AL",2017,November,73
"Lee County, AL",2017,December,65
"Lee County, AL",2018,January,59
"Lee County, AL",2018,February,60
"Lee County, AL",2018,March,65
"Lee County, AL",2018,April,50
"Lee County, AL",2018,May,61
"Lee County, AL",2018,June,53
"Lee County, AL",2018,July,59
"Lee County, AL",2018,August,61
"Lee County, AL",2018,September,51
"Lee County, AL",2018,October,49
"Lee County, AL",2018,November,50
"Lee County, AL",2018,December,63
"Lee County, AL",2019,January,53
"Lee County, AL",2019,February,50
"Lee County, AL",2019,March,56
"Lee County, AL",2019,April,59
"Lee County, AL",2019,May,51
"Lee County, AL",2019,June,39
"Lee County, AL",2019,July,46
"Lee County, AL",2019,August,51
"Lee County, AL",2019,September,53
"Lee County, AL",2019,October,49
"Lee County, AL",2019,November,48
"Lee County, AL",2019,December,61
"Madison County, AL",2016,January,118
"Madison County, AL",2016,February,108
"Madison County, AL",2016,March,129
"Madison County, AL",2016,April,107
"Madison County, AL",2016,May,123
"Madison County, AL",2016,June,107
"Madison County, AL",2016,July,112
"Madison County, AL",2016,August,122
"Madison County, AL",2016,September,110
"Madison County, AL",2016,October,140
"Madison County, AL",2016,November,116
"Madison County, AL",2016,December,96
"Madison County, AL",2017,January,124
"Madison County, AL",2017,February,110
"Madison County, AL",2017,March,118
"Madison County, AL",2017,April,121
"Madison County, AL",2017,May,79
"Madison County, AL",2017,June,115
"Madison County, AL",2017,July,120
"Madison County, AL",2017,August,114
"Madison County, AL",2017,September,121
"Madison County, AL",2017,October,93
"Madison County, AL",2017,November,114
"Madison County, AL",2017,December,102
"Madison County, AL",2018,January,138
"Madison County, AL",2018,February,103
"Madison County, AL",2018,March,121
"Madison County, AL",2018,April,108
"Madison County, AL",2018,May,109
"Madison County, AL",2018,June,118
"Madison County, AL",2018,July,107
"Madison County, AL",2018,August,121
"Madison County, AL",2018,September,128
"Madison County, AL",2018,October,118
"Madison County, AL",2018,November,116
"Madison County, AL",2018,December,99
"Madison County, AL",2019,January,119
"Madison County, AL",2019,February,110
"Madison County, AL",2019,March,108
"Madison County, AL",2019,April,126
"Madison County, AL",2019,May,107
"Madison County, AL",2019,June,138
"Madison County, AL",2019,July,110
"Madison County, AL",2019,August,112
"Madison County, AL",2019,September,127
"Madison County, AL",2019,October,104
"Madison County, AL",2019,November,116
"Madison County, AL",2019,December,101
"Mobile County, AL",2016,January,182
"Mobile County, AL",2016,February,164
"Mobile County, AL",2016,March,174
"Mobile County, AL",2016,April,176
"Mobile County, AL",2016,May,186
"Mobile County, AL",2016,June,215
"Mobile County, AL",2016,July,231
"Mobile County, AL",2016,August,205
"Mobile County, AL",2016,September,218
"Mobile County, AL",2016,October,222
"Mobile County, AL",2016,November,210
"Mobile County, AL",2016,December,220
"Mobile County, AL",2017,January,229
"Mobile County, AL",2017,February,179
"Mobile County, AL",2017,March,202
"Mobile County, AL",2017,April,172
"Mobile County, AL",2017,May,176
"Mobile County, AL",2017,June,195
"Mobile County, AL",2017,July,198
"Mobile County, AL",2017,August,222
"Mobile County, AL",2017,September,223
"Mobile County, AL",2017,October,242
"Mobile County, AL",2017,November,196
"Mobile County, AL",2017,December,202
"Mobile County, AL",2018,January,230
"Mobile County, AL",2018,February,178
"Mobile County, AL",2018,March,199
"Mobile County, AL",2018,April,184
"Mobile County, AL",2018,May,218
"Mobile County, AL",2018,June,213
"Mobile County, AL",2018,July,246
"Mobile County, AL",2018,August,226
"Mobile County, AL",2018,September,214
"Mobile County, AL",2018,October,198
"Mobile County, AL",2018,November,184
"Mobile County, AL",2018,December,194
"Mobile County, AL",2019,January,189
"Mobile County, AL",2019,February,165
"Mobile County, AL",2019,March,168
"Mobile County, AL",2019,April,143
"Mobile County, AL",2019,May,180
"Mobile County, AL",2019,June,173
"Mobile County, AL",2019,July,155
"Mobile County, AL",2019,August,151
"Mobile County, AL",2019,September,187
"Mobile County, AL",2019,October,154
"Mobile County, AL",2019,November,139
"Mobile County, AL",2019,December,183
"Montgomery County, AL",2016,January,124
"Montgomery County, AL",2016,February,88
"Montgomery County, AL",2016,March,99
"Montgomery County, AL",2016,April,73
"Montgomery County, AL",2016,May,87
"Montgomery County, AL",2016,June,90
"Montgomery County, AL",2016,July,103
"Montgomery County, AL",2016,August,103
"Montgomery County, AL",2016,September,108
"Montgomery County, AL",2016,October,126
"Montgomery County, AL",2016,November,88
"Montgomery County, AL",2016,December,102
"Montgomery County, AL",2017,January,102
"Montgomery County, AL",2017,February,83
"Montgomery County, AL",2017,March,97
"Montgomery County, AL",2017,April,78
"Montgomery County, AL",2017,May,90
"Montgomery County, AL",2017,June,88
"Montgomery County, AL",2017,July,101
"Montgomery County, AL",2017,August,98
"Montgomery County, AL",2017,September,99
"Montgomery County, AL",2017,October,95
"Montgomery County, AL",2017,November,91
"Montgomery County, AL",2017,December,101
"Montgomery County, AL",2018,January,90
"Montgomery County, AL",2018,February,74
"Montgomery County, AL",2018,March,88
"Montgomery County, AL",2018,April,81
"Montgomery County, AL",2018,May,77
"Montgomery County, AL",2018,June,81
"Montgomery County, AL",2018,July,98
"Montgomery County, AL",2018,August,96
"Montgomery County, AL",2018,September,108
"Montgomery County, AL",2018,October,88
"Montgomery County, AL",2018,November,93
"Montgomery County, AL",2018,December,108
"Montgomery County, AL",2019,January,100
"Montgomery County, AL",2019,February,76
"Montgomery County, AL",2019,March,95
"Montgomery County, AL",2019,April,91
"Montgomery County, AL",2019,May,90
"Montgomery County, AL",2019,June,85
"Montgomery County, AL",2019,July,85
"Montgomery County, AL",2019,August,96
"Montgomery County, AL",2019,September,113
"Montgomery County, AL",2019,October,98
"Montgomery County, AL",2019,November,82
"Montgomery County, AL",2019,December,119
"Morgan County, AL",2016,January,38
"Morgan County, AL",2016,February,35
"Morgan County, AL",2016,March,32
"Morgan County, AL",2016,April,28
"Morgan County, AL",2016,May,42
"Morgan County, AL",2016,June,38
"Morgan County, AL",2016,July,46
"Morgan County, AL",2016,August,52
"Morgan County, AL",2016,September,35
"Morgan County, AL",2016,October,41
"Morgan County, AL",2016,November,26
"Morgan County, AL",2016,December,41
"Morgan County, AL",2017,January,43
"Morgan County, AL",2017,February,32
"Morgan County, AL",2017,March,32
"Morgan County, AL",2017,April,30
"Morgan County, AL",2017,May,44
"Morgan County, AL",2017,June,42
"Morgan County, AL",2017,July,45
"Morgan County, AL",2017,August,52
"Morgan County, AL",2017,September,41
"Morgan County, AL",2017,October,40
"Morgan County, AL",2017,November,42
"Morgan County, AL",2017,December,48
"Morgan County, AL",2018,January,43
"Morgan County, AL",2018,February,37
"Morgan County, AL",2018,March,40
"Morgan County, AL",2018,April,27
"Morgan County, AL",2018,May,26
"Morgan County, AL",2018,June,38
"Morgan County, AL",2018,July,37
"Morgan County, AL",2018,August,43
"Morgan County, AL",2018,September,31
"Morgan County, AL",2018,October,46
"Morgan County, AL",2018,November,39
"Morgan County, AL",2018,December,39
"Morgan County, AL",2019,January,43
"Morgan County, AL",2019,February,38
"Morgan County, AL",2019,March,33
"Morgan County, AL",2019,April,36
"Morgan County, AL",2019,May,46
"Morgan County, AL",2019,June,52
"Morgan County, AL",2019,July,47
"Morgan County, AL",2019,August,48
"Morgan County, AL",2019,September,40
"Morgan County, AL",2019,October,63
"Morgan County, AL",2019,November,33
"Morgan County, AL",2019,December,41
"Shelby County, AL",2016,January,80
"Shelby County, AL",2016,February,86
"Shelby County, AL",2016,March,86
"Shelby County, AL",2016,April,79
"Shelby County, AL",2016,May,87
"Shelby County, AL",2016,June,75
"Shelby County, AL",2016,July,94
"Shelby County, AL",2016,August,85
"Shelby County, AL",2016,September,70
"Shelby County, AL",2016,October,76
"Shelby County, AL",2016,November,73
"Shelby County, AL",2016,December,77
"Shelby County, AL",2017,January,70
"Shelby County, AL",2017,February,60
"Shelby County, AL",2017,March,67
"Shelby County, AL",2017,April,74
"Shelby County, AL",2017,May,66
"Shelby County, AL",2017,June,77
"Shelby County, AL",2017,July,77
"Shelby County, AL",2017,August,77
"Shelby County, AL",2017,September,98
"Shelby County, AL",2017,October,101
"Shelby County, AL",2017,November,104
"Shelby County, AL",2017,December,61
"Shelby County, AL",2018,January,66
"Shelby County, AL",2018,February,79
"Shelby County, AL",2018,March,62
"Shelby County, AL",2018,April,78
"Shelby County, AL",2018,May,59
"Shelby County, AL",2018,June,79
"Shelby County, AL",2018,July,87
"Shelby County, AL",2018,August,75
"Shelby County, AL",2018,September,60
"Shelby County, AL",2018,October,67
"Shelby County, AL",2018,November,76
"Shelby County, AL",2018,December,62
"Shelby County, AL",2019,January,67
"Shelby County, AL",2019,February,57
"Shelby County, AL",2019,March,69
"Shelby County, AL",2019,April,52
"Shelby County, AL",2019,May,50
"Shelby County, AL",2019,June,66
"Shelby County, AL",2019,July,81
"Shelby County, AL",2019,August,71
"Shelby County, AL",2019,September,64
"Shelby County, AL",2019,October,63
"Shelby County, AL",2019,November,65
"Shelby County, AL",2019,December,62
"Tuscaloosa County, AL",2016,January,75
"Tuscaloosa County, AL",2016,February,73
"Tuscaloosa County, AL",2016,March,85
"Tuscaloosa County, AL",2016,April,70
"Tuscaloosa County, AL",2016,May,84
"Tuscaloosa County, AL",2016,June,84
"Tuscaloosa County, AL",2016,July,75
"Tuscaloosa County, AL",2016,August,90
"Tuscaloosa County, AL",2016,September,87
"Tuscaloosa County, AL",2016,October,101
"Tuscaloosa County, AL",2016,November,100
"Tuscaloosa County, AL",2016,December,88
"Tuscaloosa County, AL",2017,January,84
"Tuscaloosa County, AL",2017,February,82
"Tuscaloosa County, AL",2017,March,85
"Tuscaloosa County, AL",2017,April,68
"Tuscaloosa County, AL",2017,May,69
"Tuscaloosa County, AL",2017,June,82
"Tuscaloosa County, AL",2017,July,95
"Tuscaloosa County, AL",2017,August,98
"Tuscaloosa County, AL",2017,September,91
"Tuscaloosa County, AL",2017,October,75
"Tuscaloosa County, AL",2017,November,80
"Tuscaloosa County, AL",2017,December,96
"Tuscaloosa County, AL",2018,January,72
"Tuscaloosa County, AL",2018,February,88
"Tuscaloosa County, AL",2018,March,85
"Tuscaloosa County, AL",2018,April,88
"Tuscaloosa County, AL",2018,May,85
"Tuscaloosa County, AL",2018,June,79
"Tuscaloosa County, AL",2018,July,84
"Tuscaloosa County, AL",2018,August,78
"Tuscaloosa County, AL",2018,September,98
"Tuscaloosa County, AL",2018,October,74
"Tuscaloosa County, AL",2018,November,79
"Tuscaloosa County, AL",2018,December,82
"Tuscaloosa County, AL",2019,January,103
"Tuscaloosa County, AL",2019,February,87
"Tuscaloosa County, AL",2019,March,87
"Tuscaloosa County, AL",2019,April,78
"Tuscaloosa County, AL",2019,May,95
"Tuscaloosa County, AL",2019,June,68
"Tuscaloosa County, AL",2019,July,96
"Tuscaloosa County, AL",2019,August,103
"Tuscaloosa County, AL",2019,September,102
"Tuscaloosa County, AL",2019,October,99
"Tuscaloosa County, AL",2019,November,91
"Tuscaloosa County, AL",2019,December,110
"Anchorage Borough, AK",2016,January,165
"Anchorage Borough, AK",2016,February,144
"Anchorage Borough, AK",2016,March,165
"Anchorage Borough, AK",2016,April,155
"Anchorage Borough, AK",2016,May,173
"Anchorage Borough, AK",2016,June,179
"Anchorage Borough, AK",2016,July,171
"Anchorage Borough, AK",2016,August,161
"Anchorage Borough, AK",2016,September,159
"Anchorage Borough, AK",2016,October,164
"Anchorage Borough, AK",2016,November,159
"Anchorage Borough, AK",2016,December,173
"Anchorage Borough, AK",2017,January,134
"Anchorage Borough, AK",2017,February,138
"Anchorage Borough, AK",2017,March,157
"Anchorage Borough, AK",2017,April,144
"Anchorage Borough, AK",2017,May,124
"Anchorage Borough, AK",2017,June,155
"Anchorage Borough, AK",2017,July,157
"Anchorage Borough, AK",2017,August,139
"Anchorage Borough, AK",2017,September,155
"Anchorage Borough, AK",2017,October,147
"Anchorage Borough, AK",2017,November,153
"Anchorage Borough, AK",2017,December,140
"Anchorage Borough, AK",2018,January,137
"Anchorage Borough, AK",2018,February,144
"Anchorage Borough, AK",2018,March,142
"Anchorage Borough, AK",2018,April,161
"Anchorage Borough, AK",2018,May,141
"Anchorage Borough, AK",2018,June,158
"Anchorage Borough, AK",2018,July,129
"Anchorage Borough, AK",2018,August,152
"Anchorage Borough, AK",2018,September,136
"Anchorage Borough, AK",2018,October,147
"Anchorage Borough, AK",2018,November,137
"Anchorage Borough, AK",2018,December,136
"Anchorage Borough, AK",2019,January,130
"Anchorage Borough, AK",2019,February,113
"Anchorage Borough, AK",2019,March,136
"Anchorage Borough, AK",2019,April,137
"Anchorage Borough, AK",2019,May,140
"Anchorage Borough, AK",2019,June,140
"Anchorage Borough, AK",2019,July,153
"Anchorage Borough, AK",2019,August,151
"Anchorage Borough, AK",2019,September,157
"Anchorage Borough, AK",2019,October,129
"Anchorage Borough, AK",2019,November,128
"Anchorage Borough, AK",2019,December,116
"Cochise County, AZ",2016,January,50
"Cochise County, AZ",2016,February,30
"Cochise County, AZ",2016,March,47
"Cochise County, AZ",2016,April,52
"Cochise County, AZ",2016,May,52
"Cochise County, AZ",2016,June,40
"Cochise County, AZ",2016,July,51
"Cochise County, AZ",2016,August,52
"Cochise County, AZ",2016,September,48
"Cochise County, AZ",2016,October,50
"Cochise County, AZ",2016,November,51
"Cochise County, AZ",2016,December,50
"Cochise County, AZ",2017,January,45
"Cochise County, AZ",2017,February,43
"Cochise County, AZ",2017,March,36
"Cochise County, AZ",2017,April,48
"Cochise County, AZ",2017,May,48
"Cochise County, AZ",2017,June,45
"Cochise County, AZ",2017,July,54
"Cochise County, AZ",2017,August,36
"Cochise County, AZ",2017,September,49
"Cochise County, AZ",2017,October,59
"Cochise County, AZ",2017,November,54
"Cochise County, AZ",2017,December,45
"Cochise County, AZ",2018,January,33
"Cochise County, AZ",2018,February,45
"Cochise County, AZ",2018,March,54
"Cochise County, AZ",2018,April,39
"Cochise County, AZ",2018,May,42
"Cochise County, AZ",2018,June,36
"Cochise County, AZ",2018,July,51
"Cochise County, AZ",2018,August,55
"Cochise County, AZ",2018,September,53
"Cochise County, AZ",2018,October,54
"Cochise County, AZ",2018,November,52
"Cochise County, AZ",2018,December,56
"Cochise County, AZ",2019,January,48
"Cochise County, AZ",2019,February,42
"Cochise County, AZ",2019,March,56
"Cochise County, AZ",2019,April,39
"Cochise County, AZ",2019,May,50
"Cochise County, AZ",2019,June,36
"Cochise County, AZ",2019,July,65
"Cochise County, AZ",2019,August,50
"Cochise County, AZ",2019,September,48
"Cochise County, AZ",2019,October,65
"Cochise County, AZ",2019,November,46
"Cochise County, AZ",2019,December,61
"Coconino County, AZ",2016,January,63
"Coconino County, AZ",2016,February,50
"Coconino County, AZ",2016,March,82
"Coconino County, AZ",2016,April,47
"Coconino County, AZ",2016,May,62
"Coconino County, AZ",2016,June,79
"Coconino County, AZ",2016,July,56
"Coconino County, AZ",2016,August,70
"Coconino County, AZ",2016,September,53
"Coconino County, AZ",2016,October,54
"Coconino County, AZ",2016,November,60
"Coconino County, AZ",2016,December,66
"Coconino County, AZ",2017,January,63
"Coconino County, AZ",2017,February,61
"Coconino County, AZ",2017,March,52
"Coconino County, AZ",2017,April,61
"Coconino County, AZ",2017,May,59
"Coconino County, AZ",2017,June,58
"Coconino County, AZ",2017,July,70
"Coconino County, AZ",2017,August,68
"Coconino County, AZ",2017,September,59
"Coconino County, AZ",2017,October,68
"Coconino County, AZ",2017,November,55
"Coconino County, AZ",2017,December,53
"Coconino County, AZ",2018,January,54
"Coconino County, AZ",2018,February,60
"Coconino County, AZ",2018,March,76
"Coconino County, AZ",2018,April,43
"Coconino County, AZ",2018,May,62
"Coconino County, AZ",2018,June,64
"Coconino County, AZ",2018,July,61
"Coconino County, AZ",2018,August,65
"Coconino County, AZ",2018,September,69
"Coconino County, AZ",2018,October,50
"Coconino County, AZ",2018,November,47
"Coconino County, AZ",2018,December,53
"Coconino County, AZ",2019,January,39
"Coconino County, AZ",2019,February,43
"Coconino County, AZ",2019,March,49
"Coconino County, AZ",2019,April,63
"Coconino County, AZ",2019,May,49
"Coconino County, AZ",2019,June,45
"Coconino County, AZ",2019,July,55
"Coconino County, AZ",2019,August,59
"Coconino County, AZ",2019,September,39
"Coconino County, AZ",2019,October,53
"Coconino County, AZ",2019,November,50
"Coconino County, AZ",2019,December,47
"Maricopa County, AZ",2016,January,2113
"Maricopa County, AZ",2016,February,2058
"Maricopa County, AZ",2016,March,2035
"Maricopa County, AZ",2016,April,1908
"Maricopa County, AZ",2016,May,2004
"Maricopa County, AZ",2016,June,2079
"Maricopa County, AZ",2016,July,2067
"Maricopa County, AZ",2016,August,2239
"Maricopa County, AZ",2016,September,2288
"Maricopa County, AZ",2016,October,2135
"Maricopa County, AZ",2016,November,2001
"Maricopa County, AZ",2016,December,2122
"Maricopa County, AZ",2017,January,2181
"Maricopa County, AZ",2017,February,1937
"Maricopa County, AZ",2017,March,2076
"Maricopa County, AZ",2017,April,1888
"Maricopa County, AZ",2017,May,1874
"Maricopa County, AZ",2017,June,1978
"Maricopa County, AZ",2017,July,2074
"Maricopa County, AZ",2017,August,2233
"Maricopa County, AZ",2017,September,2292
"Maricopa County, AZ",2017,October,2259
"Maricopa County, AZ",2017,November,2111
"Maricopa County, AZ",2017,December,2061
"Maricopa County, AZ",2018,January,2002
"Maricopa County, AZ",2018,February,1909
"Maricopa County, AZ",2018,March,1865
"Maricopa County, AZ",2018,April,1802
"Maricopa County, AZ",2018,May,1906
"Maricopa County, AZ",2018,June,1942
"Maricopa County, AZ",2018,July,2052
"Maricopa County, AZ",2018,August,2089
"Maricopa County, AZ",2018,September,2162
"Maricopa County, AZ",2018,October,2189
"Maricopa County, AZ",2018,November,1956
"Maricopa County, AZ",2018,December,1959
"Maricopa County, AZ",2019,January,1868
"Maricopa County, AZ",2019,February,1653
"Maricopa County, AZ",2019,March,1878
"Maricopa County, AZ",2019,April,1708
"Maricopa County, AZ",2019,May,1822
"Maricopa County, AZ",2019,June,1758
"Maricopa County, AZ",2019,July,1983
"Maricopa County, AZ",2019,August,2063
"Maricopa County, AZ",2019,September,2018
"Maricopa County, AZ",2019,October,1948
"Maricopa County, AZ",2019,November,1892
"Maricopa County, AZ",2019,December,1827
"Mohave County, AZ",2016,January,60
"Mohave County, AZ",2016,February,45
"Mohave County, AZ",2016,March,55
"Mohave County, AZ",2016,April,61
"Mohave County, AZ",2016,May,57
"Mohave County, AZ",2016,June,71
"Mohave County, AZ",2016,July,71
"Mohave County, AZ",2016,August,78
"Mohave County, AZ",2016,September,64
"Mohave County, AZ",2016,October,56
"Mohave County, AZ",2016,November,58
"Mohave County, AZ",2016,December,75
"Mohave County, AZ",2017,January,61
"Mohave County, AZ",2017,February,56
"Mohave County, AZ",2017,March,42
"Mohave County, AZ",2017,April,59
"Mohave County, AZ",2017,May,64
