county,N,Mean,Var,Ratio,Pop2010
"Ada County, ID",48,180.95833333333334,324.63652482269504,0.5574182801278025,392365
"Adams County, CO",48,279.2708333333333,778.8825354609929,0.35855321003961504,441603
"Adams County, PA",48,31.770833333333332,42.988918439716315,0.739047049482899,101407
"Aiken County, SC",48,55.541666666666664,66.80673758865248,0.831378221290374,160099
"Alachua County, FL",48,123.64583333333333,139.42508865248226,0.8868262844825668,247336
"Alamance County, NC",48,69.79166666666667,168.29609929078015,0.4146956879023167,151131
"Alameda County, CA",48,835.8333333333334,5906.822695035461,0.14150303411609608,1510271
"Albany County, NY",48,106.6875,232.30452127659575,0.4592570967354158,304204
"Alexandria city, VA",48,97.375,120.5372340425532,0.8078416662989276,139966
"Allegan County, MI",48,45.854166666666664,70.59530141843972,0.6495356736969666,111408
"Allegheny County, PA",48,551.9583333333334,2937.998226950355,0.18786884494013692,1223348
"Allen County, IN",48,183.33333333333334,393.07801418439715,0.46640444572748274,355329
"Allen County, OH",48,33.791666666666664,40.16843971631206,0.8412491723681306,106331
"Anderson County, SC",48,76.54166666666667,150.72163120567376,0.5078346489112662,187126
"Androscoggin County, ME",48,46.833333333333336,68.60992907801419,0.6826028530080628,107702
"Anne Arundel County, MD",48,236.75,583.936170212766,0.4054381490253233,537656
"Anoka County, MN",48,165.04166666666666,295.10460992907804,0.5592649559298001,330844
"Arapahoe County, CO",48,292.5,1083.3191489361702,0.2700035352345039,572003
"Arlington County, VA",48,119.5625,145.44281914893617,0.8220584604975634,207627
"Ascension Parish, LA",48,51.8125,54.15558510638298,0.9567341927562922,107215
"Ashtabula County, OH",48,27.895833333333332,50.73359929078014,0.5498492857454895,101497
"Atlantic County, NJ",48,111.83333333333333,114.09929078014184,0.9801404773744405,274549
"Baldwin County, AL",48,69.54166666666667,97.95567375886525,0.7099299509475628,182265
"Baltimore city, MD",48,275,1040.936170212766,0.26418526694464883,620961
"Baltimore County, MD",48,325.1041666666667,880.5633865248227,0.36920018665516263,805029
"Barnstable County, MA",48,68.1875,127.43218085106383,0.5350885431341244,215888
"Bartow County, GA",48,53.291666666666664,117.7854609929078,0.4524468997907603,100157
"Bay County, FL",48,98.52083333333333,222.55274822695034,0.44268531446246506,168852
"Bay County, MI",48,36.979166666666664,59.25487588652482,0.6240695995631326,107771
"Beaufort County, SC",48,68.875,99.72872340425532,0.6906234999199957,162233
"Beaver County, PA",48,58.229166666666664,87.24423758865248,0.6674270791523348,170539
"Bell County, TX",48,252.3125,734.4747340425532,0.34352781423980444,310235
"Benton County, AR",48,112.3125,194.09175531914894,0.5786567276663674,221339
"Benton County, WA",48,94.16666666666667,166.22695035460993,0.5664945814489292,175177
"Bergen County, NJ",48,294.0208333333333,597.8506205673759,0.4917964843028846,905116
"Berkeley County, SC",48,90,152.08510638297872,0.5917739227756016,177843
"Berkeley County, WV",48,49.166666666666664,76.69503546099291,0.6410671351951174,104169
"Berks County, PA",48,156,371.5744680851064,0.41983508932661473,411442
"Berkshire County, MA",48,39.604166666666664,73.60593971631205,0.5380566679714552,131219
"Bernalillo County, NM",48,239,1053.872340425532,0.22678268594040216,662564
"Berrien County, MI",48,67.08333333333333,133.95035460992906,0.500807433684545,156813
"Bexar County, TX",48,872.7916666666666,6221.062056737589,0.1402962482461348,1714773
"Bibb County, GA",48,66.27083333333333,120.1165780141844,0.5517209566651782,155547
"Black Hawk County, IA",48,72.25,111.46808510638297,0.6481675892345868,131090
"Blair County, PA",48,41.3125,58.517287234042556,0.7059879559141007,127089
"Blount County, TN",48,32.25,32.319148936170215,0.9978604344963791,123010
"Bonneville County, ID",48,63.604166666666664,105.13785460992908,0.6049597160094607,104234
"Boone County, KY",48,51.6875,53.07047872340426,0.9739407151269137,118811
"Boone County, MO",48,58.354166666666664,77.55274822695036,0.752444858509708,162642
"Bossier Parish, LA",48,42.354166666666664,54.2761524822695,0.7803457822568132,116979
"Boulder County, CO",48,100.79166666666667,139.95567375886526,0.7201684930639133,294567
"Brazoria County, TX",48,147.85416666666666,225.78679078014184,0.654839754601227,313166
"Brazos County, TX",48,92.14583333333333,101.10593971631205,0.9113790306670466,194851
"Brevard County, FL",48,181.875,373.72872340425533,0.4866497772590769,543376
"Bristol County, MA",48,216.39583333333334,631.7761524822695,0.34251978724285004,548285
"Bronx County, NY",48,732.2916666666666,4328.934397163121,0.1691621076878779,1385108
"Broome County, NY",48,66.33333333333333,88.43971631205673,0.7500400962309542,200600
"Broward County, FL",48,764.8333333333334,2917.758865248227,0.26213041195515846,1748066
"Brown County, WI",48,116.89583333333333,147.15913120567376,0.7943498468331972,248007
"Brunswick County, NC",48,34.833333333333336,50.269503546099294,0.6929317155756207,107431
"Bucks County, PA",48,201.83333333333334,665.9290780141844,0.3030853284484962,625249
"Buncombe County, NC",48,87.4375,169.01728723404256,0.5173287385622458,238318
"Burlington County, NJ",48,168.8125,239.04920212765958,0.7061830723444497,448734
"Butler County, OH",48,131.72916666666666,217.30806737588654,0.6061862693703377,368130
"Butler County, PA",48,63.416666666666664,110.71631205673759,0.5727852155531356,183862
"Butte County, CA",48,95.10416666666667,207.96764184397162,0.4573027122075985,220000
"Cabarrus County, NC",48,83.54166666666667,131.4450354609929,0.6355634990220544,178011
"Cache County, UT",48,111.64583333333333,156.31870567375887,0.7142192794657668,112656
"Caddo Parish, LA",48,101.1875,252.83643617021278,0.40020932715520185,254969
"Calcasieu Parish, LA",48,93.08333333333333,164.03546099290782,0.567458601755372,192768
"Calhoun County, AL",48,37.4375,48.80452127659574,0.76709081496417,118572
