Species,Length,Weight,Category
Rajella eisenhardti,38.45,640.1217139197031,Least Concern
Rajella fyllae,60,2110.557690505931,Least Concern
Rajella leoparda,65,2615.758950533419,Least Concern
Rajella lintea,123,11150,Least Concern
Rajella paucispinosa,47.1,1102.8916317857315,Least Concern
Rajella purpuriventralis,17.4,76.38981368434456,Least Concern
Rajella ravidula,70,3190.7141474884793,Least Concern
Rhina ancylostoma,300,135000,Critically Endangered
Rhincodon typus,1700,34000000,Endangered
Rhinobatos albomaculatus,75,3839.035531864086,Vulnerable
Rhinobatos hynnicephalus,53,1513.394809269974,Endangered
Rhinobatos irvinei,100,8302.228700297239,Vulnerable
Rhinobatos jimbaranensis,89.2,6111.0829137369965,Vulnerable
Rhinobatos penggali,86.4,5610.247696366093,Vulnerable
Rhinobatos punctifer,88,5893.149921716592,Near Threatened
Rhinobatos rhinobatos,147,23323.207734415417,Endangered
Rhinobatos sainsburyi,59.5,2063.7323268431096,Least Concern
Rhinochimaera atlantica,140,20463.398751342673,Least Concern
Rhinochimaera pacifica,165,31789.9395245646,Least Concern
Rhinoptera bonasus,213.3,953,Vulnerable
Rhinoptera javanica,150,4500,Vulnerable
Rhinoptera marginata,200,53245.70254992961,Near Threatened
Rhinoptera steindachneri,90,6259.1381295637975,Near Threatened
Rhizoprionodon acutus,175,5000,Vulnerable
Rhizoprionodon longurio,110,10719.447303356466,Vulnerable
Rhizoprionodon porosus,113,7500,Least Concern
Rhizoprionodon taylori,69.1,3081.911522528145,Least Concern
Rhizoprionodon terraenovae,110,7250,Least Concern
Rhynchobatus australiae,124,14779.74904527942,Critically Endangered
Rhynchobatus cooki,81,4718.830513974733,Critically Endangered
Rhynchobatus djiddensis,310,227000,Critically Endangered
Rhynchobatus immaculatus,99,8081.504830369964,Critically Endangered
Rhynchobatus laevis,270,240000,Critically Endangered
Rhynchobatus luebberti,300,157907.17712425409,Critically Endangered
Rhynchobatus palpebratus,262,109824.69069056366,Near Threatened
Rhynchobatus springeri,215,64638.85023476265,Critically Endangered
Rhynchorhina mauritaniensis,224,72151.06270166118,Critically Endangered
Rioraja agassizii,33,424.8983647620584,Vulnerable
Rostroraja alba,230,77449.96187478467,Endangered
Schroederichthys bivius,70,3190.7141474884793,Least Concern
Schroederichthys chilensis,62,2304.502538807646,Least Concern
Schroederichthys maculatus,33,424.8983647620584,Least Concern
Schroederichthys saurisqualus,58.2,1945.0510176134171,Vulnerable
Schroederichthys tenuis,70,3190.7141474884793,Least Concern
Schroederobatis americana,40,711.6720661450178,Least Concern
Scoliodon laticaudus,100,8302.228700297239,Near Threatened
Scoliodon macrorhynchos,63.6,2467.4288834170093,Near Threatened
Scyliorhinus boa,54,1591.1717915957704,Least Concern
Scyliorhinus cabofriensis,46.8,1084.1582009744955,Least Concern
Scyliorhinus canicula,100,1320,Least Concern
Scyliorhinus capensis,122,14149.254579023715,Near Threatened
Scyliorhinus meadi,49,1226.2558812212246,Least Concern
Scyliorhinus retifer,48,1160.305427751751,Least Concern
Scyliorhinus stellaris,170,34438.9602259596,Near Threatened
Scyliorhinus torazame,50,1294.5082530821128,Least Concern
Scyliorhinus torrei,32,391.25059923352364,Least Concern
Scyliorhinus ugoi,53.4,1544.212459965632,Least Concern
Scylliogaleus quecketti,89,6074.415810642938,Vulnerable
Scymnodon ringens,110,10719.447303356466,Vulnerable
Sinobatis andamanensis,37.9,615.8665141592746,Least Concern
Sinobatis borneensis,39.9,706.9119341205605,Least Concern
Sinobatis bulbicauda,43.3,880.2061260821919,Least Concern
Sinobatis kotlyari,33.1,428.3592627064996,Least Concern
Sinobatis melanosoma,59,2017.5638085501866,Least Concern
Somniosus antarcticus,438,435559.4185117363,Least Concern
Somniosus microcephalus,427,775000,Vulnerable
Somniosus rostratus,143,21660.341030477317,Least Concern
Sphyrna corona,92,6639.057580804473,Critically Endangered
Sphyrna lewini,430,152400,Critically Endangered
Sphyrna media,150,24621.35787718393,Critically Endangered
Sphyrna mokarran,610,449500,Critically Endangered
Sphyrna tiburo,150,10760,Endangered
Sphyrna tudes,134,18195.947281130455,Critically Endangered
Sphyrna zygaena,500,400000,Vulnerable
Spiniraja whitleyi,200,53245.70254992961,Vulnerable
Springeria folirostris,40,711.6720661450178,Least Concern
Springeria longirostris,75,3839.035531864086,Least Concern
Squaliolus aliae,22,143.27412063271612,Least Concern
Squaliolus laticaudus,22,143.27412063271612,Least Concern
Squalus acanthias,95,9100,Vulnerable
Squalus albifrons,74,3703.331371891116,Least Concern
Squalus bassi,96,7441.529245144339,Least Concern
Squalus chloroculus,85.6,5472.055250967832,Endangered
Squalus crassispinus,47.6,1134.562599750022,Least Concern
Squalus cubensis,110,10719.447303356466,Least Concern
Squalus edmundsi,70,3190.7141474884793,Near Threatened
Squalus formosus,73.4,3623.3737698296677,Endangered
Squalus grahami,60.2,2129.4725940048666,Near Threatened
Squalus griffini,89.9,6240.509605065624,Least Concern
Squalus hemipinnis,52.2,1452.923097566646,Vulnerable
Squalus japonicus,91,6447.3432826829485,Endangered
Squalus lalannei,61.5,2255.0123483851617,Least Concern
Squalus margaretsmithae,54.3,1614.9830606220858,Least Concern
Squalus megalops,72,3441.039293761209,Least Concern
Squalus mitsukurii,89.8,6221.915882624647,Endangered
Squalus montalbani,84,5202.119234199062,Vulnerable
Squalus nasutus,49.9,1287.5785189849157,Near Threatened
Squalus notocaudatus,61.9,2294.550577952925,Least Concern
Squalus raoulensis,68.1,2963.782506014762,Least Concern
Squalus suckleyi,140,20463.398751342673,Least Concern
Squatina aculeata,188,45106.36163478947,Critically Endangered
Squatina africana,80,4564.253830503943,Near Threatened
Squatina albipunctata,98.5,17000,Vulnerable
Squatina argentina,170,34438.9602259596,Critically Endangered
Squatina australis,152,25511.41444725081,Least Concern
Squatina californica,152,25511.41444725081,Near Threatened
Squatina david,78.7,4368.105495104309,Near Threatened
Squatina dumeril,152,25511.41444725081,Least Concern
Squatina formosa,55.4,1704.198311667329,Endangered
Squatina guggenheim,129,16432.216865280418,Endangered
Squatina japonica,200,53245.70254992961,Vulnerable
Squatina legnota,134.1,18232.37687901379,Critically Endangered
Squatina occulta,120,13535.898739951816,Critically Endangered
Squatina oculata,160,29272.489423555493,Critically Endangered
Squatina pseudocellata,75.1,3852.774673263328,Least Concern
Squatina squatina,183,80000,Critically Endangered
Squatina tergocellata,135,18562.302419493753,Least Concern
Squatina tergocellatoides,63,2405.513182305948,Endangered
Squatina varii,124.2,14843.748473336214,Least Concern
Sutorectus tentaculatus,92,6639.057580804473,Least Concern
Sympterygia acuta,149.5,24401.933300775832,Critically Endangered
Sympterygia bonapartii,63,2405.513182305948,Near Threatened
Sympterygia brevicaudata,38,620.2329008392073,Near Threatened
Taeniura lymma,35,497.50566338913507,Near Threatened
Taeniurops meyeni,330,150000,Vulnerable
Telatrygon acutirostra,10.61,20.27895428520004,Near Threatened
Telatrygon zugei,29,300.4920009689459,Near Threatened
Temera hardwickii,46,1035.1816531783882,Vulnerable
Tetronarce californica,140,20463.398751342673,Least Concern
Tetronarce cowleyi,68,2952.1285024366134,Least Concern
Tetronarce occidentalis,154,60000,Least Concern
Tetronarce puelcha,110,10719.447303356466,Critically Endangered
Tetronarce tremens,90,6259.1381295637975,Least Concern
Torpedo adenensis,10.7,20.74344416183507,Endangered
Torpedo andersoni,22,143.27412063271612,Least Concern
Torpedo suessii,23.2,165.1992273362937,Critically Endangered
Triaenodon obesus,213,18250,Vulnerable
Triakis acutipinna,90,6259.1381295637975,Endangered
Triakis maculata,180,40142.49897184172,Critically Endangered
Triakis megalopterus,142,20000,Least Concern
Triakis scyllium,150,24621.35787718393,Least Concern
Triakis semifasciata,198,18420,Least Concern
Trigonognathus kabeyai,47,425.6,Least Concern
Trygonoptera galba,32.8,418.0292898666019,Least Concern
Trygonoptera imitata,68.9,3058.0539047267453,Least Concern
Trygonoptera mucosa,44,918.8775069565609,Least Concern
Trygonoptera ovalis,61,2206.19396173106,Least Concern
Trygonoptera personata,47,1096.6247904793313,Least Concern
Trygonoptera testacea,47,1096.6247904793313,Near Threatened
Trygonorrhina dumerilii,146,22900.25045668104,Least Concern
Trygonorrhina fasciata,126,6700,Least Concern
Typhlonarke aysoni,45,975.9434795636485,Least Concern
Urobatis concentricus,47.5,1128.1833967694427,Least Concern
Urobatis halleri,58,1360,Least Concern
Urobatis jamaicensis,76,3977.81580608374,Least Concern
Urobatis maculatus,42,811.1299417645272,Least Concern
Urobatis pardalis,46.2,1047.2928391635553,Least Concern
Urobatis tumbesensis,34.5,478.6785924535367,Vulnerable
Urogymnus asperrimus,147,23323.207734415417,Vulnerable
Urogymnus dalyensis,124,14779.74904527942,Least Concern
Urogymnus granulatus,141,20857.64332448083,Vulnerable
Urogymnus lobistoma,49.2,1239.7211785531968,Endangered
Urogymnus polylepis,240,600000,Endangered
Urolophus aurantiacus,40,711.6720661450178,Vulnerable
Urolophus bucculentus,80,4564.253830503943,Vulnerable
Urolophus circularis,60,2110.557690505931,Least Concern
Urolophus cruciatus,50,1294.5082530821128,Least Concern
Urolophus deforgesi,34.2,467.60015159708337,Least Concern
Urolophus expansus,47,1096.6247904793313,Least Concern
Urolophus flavomosaicus,59,2017.5638085501866,Least Concern
Urolophus gigas,70,3190.7141474884793,Least Concern
Urolophus kapalensis,43.3,880.2061260821919,Near Threatened
Urolophus lobatus,38,620.2329008392073,Least Concern
Urolophus mitosis,29,300.4920009689459,Least Concern
Urolophus neocaledoniensis,36.6,560.8493575360711,Least Concern
Urolophus orarius,31,359.32490701302584,Endangered
Urolophus papilio,31.3,368.7239817422444,Least Concern
Urolophus paucimaculatus,57,1839.382745288542,Least Concern
Urolophus piperatus,48.4,1186.411428741751,Least Concern
Urolophus sufflavus,42,811.1299417645272,Vulnerable
Urolophus viridis,44,918.8775069565609,Vulnerable
Urolophus westraliensis,36,536.5371065716666,Least Concern
Urotrygon aspidura,50,1294.5082530821128,Near Threatened
Urotrygon chilensis,41.9,805.962403378774,Near Threatened
Urotrygon cimar,38.2,629.0237870717807,Near Threatened
Urotrygon microphthalmum,11.8,26.966379171425185,Critically Endangered
Urotrygon munda,28.8,294.96796971993274,Near Threatened
Urotrygon nana,25,201.84358655859572,Near Threatened
Urotrygon reticulata,24.1,182.9464461889647,Critically Endangered
Urotrygon rogersi,46.2,1047.2928391635553,Near Threatened
Urotrygon simulatrix,26.7,240.7782110201534,Vulnerable
Urotrygon venezuelae,25.5,212.8495948542584,Endangered
Zameus squamulosus,84,5202.119234199062,Least Concern
Zapteryx brevirostris,53.4,758,Endangered
Zapteryx xyster,78,4264.7160853657715,Vulnerable
